date,price,market_cap,total_volume
2017-11-07,7166.74137167631,119464110442.1775,1829995407.419026
2017-11-08,7461.82443491069,124396351241.9002,3478638875.179309
2017-11-09,7186.29277509382,119816786360.01381,2330693500.643121
2017-11-10,6656.83969350681,110999386930.46329,3886426125.5147686
2017-11-11,6365.39785208573,106146109132.28351,3148369501.39065
2017-11-12,5866.51312938529,97832172888.05261,6001017946.926174
2017-11-13,6423.09140246102,107125442451.24033,4636291555.878799
2017-11-14,6652.21677956026,110957725266.311,1824550614.66447
2017-11-15,7297.66883633256,121737427357.354,2935591360.13778
2017-11-16,7814.9444036566,130381304858.568,3413089663.2046
2017-11-17,7783.54246476388,129865386010.109,3245859431.04955
2017-11-18,7827.63146946899,130622715624.408,2227536660.24511
2017-11-19,8011.14742989044,133701043637.728,1572771188.84144
2017-11-20,8220.50996617654,137213053125.934,1706394365.70662
2017-11-21,8114.13367954416,135455116259.548,2901936853.36067
2017-11-22,8257.12389528835,137857431278.079,1528137247.48478
2017-11-23,8117.66434762603,135545106327.703,1550586714.56084
2017-11-24,8278.12843633886,138239984963.008,2135298893.09068
2017-11-25,8743.1593779107,146022669794.181,2124257198.58414
2017-11-26,9342.98864142167,156058041450.11,3493015606.59397
2017-11-27,9831.40292992241,164237026935.379,3629754499.83265
2017-11-28,10257.0674169803,171368281967.209,3453118781.61612
2017-11-29,9875.89230818829,165021094137.072,10258439067.6534
2017-11-30,10406.18772373,173903131019.367,7443964832.98962
2017-12-01,10995.7235531179,183780731163.873,5021611419.94158
2017-12-02,11162.5450307617,186591841366.624,3178820954.9194
2017-12-03,11256.7018287538,188190520506.165,5761492455.64625
2017-12-04,11634.9849554034,194541160318.899,3216349724.23645
2017-12-05,12174.2537397926,203585321680.101,3131952573.50185
2017-12-06,13876.4735794148,232080024191.322,5086411370.06241
2017-12-07,18491.1815542282,309298517515.443,16482921408.0842
2017-12-08,16908.0049521112,282850210542.754,24144297784.1442
2017-12-09,15266.4263894651,255421618137.278,7307194000.11675
2017-12-10,15808.5098961544,264523195368.976,10474626172.7887
2017-12-11,17106.5051488871,286279279595.202,7710546749.544
2017-12-12,17249.920214656,288713846623.762,4686094939.5687
2017-12-13,16525.0444892988,276619329724.168,4407769522.20181
2017-12-14,16865.3616648753,282355027769.183,4117594354.00804
2017-12-15,17978.6305581344,301031043805.055,6146229228.58011
2017-12-16,19665.3949272416,329315720181.841,5116192713.25694
2017-12-17,19423.5801532525,325311461891.215,4251128480.35423
2017-12-18,19188.0539569348,321409248360.935,5411492204.5264
2017-12-19,18174.1867596316,304459646943.618,6141309845.2726
2017-12-20,17059.8883502646,285821795917.542,7509260354.08289
2017-12-21,16355.2382257401,274043056258.078,5580926436.9909
2017-12-22,14084.8249267767,236028031210.852,12164204097.121
2017-12-23,15241.9164656487,255444795621.567,5076754666.02441
2017-12-24,14451.1145466743,242218743695.445,4129411907.77252
2017-12-25,14302.7537081839,239755987703.759,2485439206.78209
2017-12-26,16616.6820570844,278573473665.536,4255570625.9614
2017-12-27,16373.0810795739,274522325686.838,4950722889.35151
2017-12-28,15067.8994980567,252666630245.445,5266566467.59302
2017-12-29,15096.5594360709,253178163423.298,3753038183.65771
2017-12-30,13620.3618741461,228445816988.881,3600481281.03768
2017-12-31,14839.5907854184,248925602660.692,2921202870.14992
2018-01-01,14093.6068305274,236440337971.831,2345478673.51547
2018-01-02,15321.9328517642,257079617264.841,4130217904.20997
2018-01-03,15583.8855377593,261505188675.85794,3310355625.1255913
2018-01-04,15976.365194174,268124738814.99704,4217387187.5256386
2018-01-05,18336.9229801691,307774011688.3515,6275687595.940333
2018-01-06,18343.6624934071,307926110569.5282,4240919830.5153003
2018-01-07,17039.8739138488,286074127681.1376,3044989246.796485
2018-01-08,15900.3650216006,266976271422.5615,5752981089.536744
2018-01-09,15604.7234082405,262044268423.30463,4214092201.8070655
2018-01-10,15509.2701268168,260474112841.84482,4969472882.941215
2018-01-11,14050.5696063543,236008991341.7291,5833888113.053883
2018-01-12,14759.294629915,247945818276.33105,4021952802.5976954
2018-01-13,15193.3148979847,255265724750.92688,3134247725.132476
2018-01-14,14476.5889713691,243252295974.26068,3336056550.553205
2018-01-15,14411.9977069182,242193794408.73285,3222958351.447812
2018-01-16,11723.9135206658,197043955228.79236,9677283153.059654
2018-01-17,11415.3928442768,191882616843.4473,10225958520.621689
2018-01-18,11569.4249920858,194496634731.3023,6558304864.2233305
2018-01-19,11758.4693327652,197698672432.58115,4208563477.4581575
2018-01-20,13260.2711872786,222978421656.46298,4520485016.427376
2018-01-21,11703.5048628599,196828374433.09152,4319501969.014785
