"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2014","570.36","567.77","573.05","566.51","85.22K","0.61%"
"06/10/2014","566.89","566.31","571.73","564.32","79.45K","0.23%"
"06/09/2014","565.61","559.04","571.83","558.64","112.50K","1.18%"
"06/06/2014","559.04","553.62","559.04","551.80","60.85K","1.44%"
"06/05/2014","551.10","552.20","553.96","548.47","59.23K","-0.43%"
"06/04/2014","553.46","559.13","559.19","550.23","67.93K","-0.95%"
"06/03/2014","558.76","557.34","560.62","554.96","58.64K","0.35%"
"06/02/2014","556.80","560.29","563.12","554.44","80.23K","-0.93%"
"05/30/2014","562.02","558.78","565.05","557.20","83.44K","0.64%"
"05/29/2014","558.45","556.30","562.33","555.32","116.32K","0.20%"
"05/28/2014","557.34","554.32","557.93","553.03","108.16K","0.83%"
"05/27/2014","552.75","543.55","552.75","542.49","127.18K","1.60%"
"05/26/2014","544.06","541.43","544.93","536.27","85.78K","0.47%"
"05/23/2014","541.49","542.44","545.30","540.51","85.74K","-0.04%"
"05/22/2014","541.73","543.35","547.20","541.43","130.12K","-0.40%"
"05/21/2014","543.88","537.95","543.93","533.19","102.99K","1.18%"
"05/20/2014","537.52","531.00","537.93","527.69","105.11K","0.84%"
"05/19/2014","533.04","530.31","534.68","525.82","106.14K","0.67%"
"05/16/2014","529.49","522.00","529.49","519.39","83.78K","1.04%"
"05/15/2014","524.05","529.39","537.27","512.41","132.54K","-1.03%"
"05/14/2014","529.53","510.16","529.59","509.82","108.32K","3.04%"
"05/13/2014","513.91","508.76","518.45","508.51","98.64K","-0.61%"
"05/12/2014","517.05","536.82","536.82","512.25","99.26K","-4.68%"
"05/09/2014","542.46","522.82","542.56","522.70","118.86K","2.92%"
"05/08/2014","527.09","550.75","550.75","525.37","146.49K","-5.87%"
"05/07/2014","559.97","558.04","561.56","553.21","52.42K","0.88%"
"05/06/2014","555.11","561.86","562.36","545.97","100.64K","-1.72%"
"05/05/2014","564.85","578.45","580.11","564.47","76.08K","-2.28%"
"04/29/2014","578.00","570.64","578.21","570.64","50.44K","0.86%"
"04/28/2014","573.10","579.05","580.70","573.10","58.05K","-1.01%"
"04/25/2014","578.92","571.71","580.74","571.71","64.32K","1.48%"
"04/24/2014","570.46","568.38","571.57","566.94","56.70K","0.19%"
"04/23/2014","569.36","569.83","573.39","567.04","71.20K","-0.09%"
"04/22/2014","569.87","560.63","569.87","556.47","99.11K","2.10%"
"04/21/2014","558.14","564.21","568.44","558.14","95.57K","-1.27%"
"04/18/2014","565.33","580.89","580.89","565.33","116.97K","-2.58%"
"04/17/2014","580.31","580.39","583.51","575.83","117.69K","1.05%"
"04/16/2014","574.29","583.64","585.51","567.61","149.24K","-2.01%"
"04/15/2014","586.09","596.00","597.99","586.09","131.67K","-1.68%"
"04/14/2014","596.11","602.67","602.70","596.05","128.08K","-0.74%"
"04/11/2014","600.57","597.87","602.01","594.96","106.93K","-0.13%"
"04/10/2014","601.33","603.25","608.89","600.43","114.25K","-0.32%"
"04/08/2014","603.25","600.71","603.25","598.52","127.47K","0.45%"
"04/07/2014","600.57","595.72","602.55","595.35","115.65K","1.27%"
"04/04/2014","593.04","589.90","593.72","588.34","119.72K","0.61%"
"04/03/2014","589.44","584.45","590.91","582.83","105.52K","1.34%"
"04/02/2014","581.67","584.17","586.50","574.40","146.78K","-0.37%"
"04/01/2014","583.85","590.93","593.03","582.30","173.01K","-1.31%"
"03/31/2014","591.57","594.29","597.22","591.57","119.52K","-0.46%"
"03/28/2014","594.29","592.82","595.70","590.59","122.37K","0.70%"
"03/27/2014","590.14","588.94","591.70","582.81","151.34K","0.35%"
"03/26/2014","588.06","603.54","603.68","587.52","259.09K","-2.29%"
"03/25/2014","601.85","609.01","609.46","601.85","261.35K","-0.94%"
"03/24/2014","607.55","606.55","609.20","604.18","194.82K","0.96%"
"03/21/2014","601.75","600.26","607.22","600.26","229.96K","0.25%"
"03/20/2014","600.26","607.39","608.51","600.03","192.92K","-0.88%"
"03/19/2014","605.59","600.73","605.91","600.42","192.01K","0.96%"
"03/18/2014","599.85","602.01","603.21","597.78","205.40K","-0.08%"
"03/17/2014","600.36","603.05","603.24","598.70","170.18K","0.59%"
"03/14/2014","596.83","596.20","600.68","594.51","163.99K","0.27%"
"03/13/2014","595.22","590.83","595.22","590.36","133.78K","0.88%"
"03/12/2014","590.02","590.94","596.38","590.02","177.88K","0.26%"
"03/11/2014","588.50","585.10","589.45","582.20","162.49K","0.82%"
"03/10/2014","583.69","580.84","584.81","579.98","145.03K","0.68%"
"03/07/2014","579.75","579.40","582.24","579.10","157.00K","0.21%"
"03/06/2014","578.56","576.17","580.04","574.58","141.31K","0.63%"
"03/05/2014","574.94","569.97","577.50","569.97","105.93K","0.87%"
"03/04/2014","569.97","569.34","572.28","563.55","125.57K","-0.59%"
"03/03/2014","573.38","586.65","587.11","573.37","143.30K","-2.23%"
"02/28/2014","586.48","586.12","591.36","581.63","119.41K","0.29%"
"02/27/2014","584.79","587.82","596.40","584.79","225.21K","-0.85%"
"02/26/2014","589.81","590.64","590.79","582.96","157.70K","0.62%"
"02/25/2014","586.20","575.49","586.20","575.49","143.52K","1.67%"
"02/24/2014","576.58","571.94","576.58","570.07","119.03K","1.05%"
"02/21/2014","570.57","570.95","574.61","565.33","124.76K","-0.08%"
"02/20/2014","571.04","579.64","584.10","565.31","259.68K","-1.22%"
"02/19/2014","578.12","578.53","578.80","573.86","159.10K","0.62%"
"02/18/2014","574.56","570.80","574.56","570.16","160.28K","0.76%"
"02/17/2014","570.20","571.91","572.85","567.89","163.69K","-0.35%"
"02/14/2014","572.22","573.09","576.18","569.38","142.81K","0.36%"
"02/13/2014","570.18","567.58","570.68","565.27","147.12K","1.05%"
"02/12/2014","564.25","555.55","564.25","554.26","126.10K","1.87%"
"02/11/2014","553.90","559.74","561.83","553.90","175.05K","-0.36%"
"02/10/2014","555.90","550.41","555.90","548.56","110.19K","1.12%"
"02/07/2014","549.76","557.71","558.51","549.37","124.97K","-0.89%"
"02/06/2014","554.68","555.51","557.29","551.45","89.24K","-0.33%"
"01/27/2014","556.52","560.45","560.49","556.35","67.55K","-0.66%"
"01/24/2014","560.19","555.66","560.19","553.46","88.01K","1.20%"
"01/23/2014","553.55","550.88","556.50","550.52","73.72K","0.30%"
"01/22/2014","551.92","561.34","564.61","551.92","125.28K","-1.43%"
"01/21/2014","559.91","555.72","560.18","547.65","100.92K","1.13%"
"01/20/2014","553.67","548.22","559.93","548.22","105.72K","1.85%"
"01/17/2014","543.59","536.81","549.88","536.81","118.07K","1.88%"
"01/16/2014","533.54","528.83","533.54","527.90","97.75K","1.30%"
"01/15/2014","526.68","523.72","527.09","522.45","127.58K","0.84%"
"01/14/2014","522.31","521.13","524.59","520.63","94.87K","0.23%"
"01/13/2014","521.11","519.31","522.32","518.78","71.99K","0.42%"
"01/10/2014","518.94","518.33","523.06","518.24","107.18K","0.38%"
"01/09/2014","516.98","513.66","516.98","513.52","91.49K","0.60%"
"01/08/2014","513.90","511.03","514.20","509.01","70.30K","0.74%"
"01/07/2014","510.12","510.84","513.00","509.87","74.36K","0.20%"
"01/06/2014","509.10","505.74","509.10","504.28","68.74K","0.74%"
"01/03/2014","505.37","504.41","506.28","503.94","55.60K","0.17%"
"01/02/2014","504.51","505.61","506.71","503.04","57.72K","-0.02%"
"12/31/2013","504.63","500.04","506.44","499.49","60.92K","0.86%"
"12/30/2013","500.35","506.35","507.02","500.35","94.29K","-1.20%"
"12/27/2013","506.41","507.08","510.09","506.41","73.74K","-0.03%"
"12/26/2013","506.55","504.41","507.57","503.59","82.92K","0.42%"
"12/25/2013","504.42","506.37","506.53","503.03","73.61K","-0.24%"
"12/24/2013","505.62","508.61","509.54","505.62","91.41K","-0.60%"
"12/23/2013","508.68","506.60","509.41","505.73","108.21K","0.84%"
"12/20/2013","504.45","507.39","508.29","504.45","142.43K","-0.36%"
"12/19/2013","506.28","505.90","508.04","504.92","111.08K","0.20%"
"12/18/2013","505.25","505.10","506.11","503.66","62.33K","-0.08%"
"12/17/2013","505.67","503.24","505.67","502.20","73.60K","0.72%"
"12/16/2013","502.04","503.46","506.52","502.04","62.70K","-0.79%"
"12/13/2013","506.06","507.07","509.35","505.49","67.67K","-0.17%"
"12/12/2013","506.92","503.77","507.68","503.76","80.16K","0.32%"
"12/11/2013","505.31","511.74","511.81","504.90","103.54K","-1.23%"
"12/10/2013","511.60","512.10","513.83","510.24","80.98K","0.07%"
"12/09/2013","511.23","514.13","514.13","510.94","102.31K","0.22%"
"12/06/2013","510.12","510.03","512.37","509.76","78.64K","0.02%"
"12/05/2013","510.03","510.39","512.21","507.52","103.88K","-0.17%"
"12/04/2013","510.88","512.01","513.40","510.66","111.83K","-0.14%"
"12/03/2013","511.62","508.13","514.83","508.13","125.50K","0.61%"
"12/02/2013","508.53","509.13","509.48","507.10","77.69K","0.15%"
"11/29/2013","507.78","507.42","508.78","506.05","101.25K","0.01%"
"11/28/2013","507.71","508.53","509.15","506.99","82.13K","-0.14%"
"11/27/2013","508.43","510.96","513.25","507.66","102.74K","-0.14%"
"11/26/2013","509.16","506.98","510.75","504.65","93.48K","0.53%"
"11/25/2013","506.46","506.94","509.72","506.08","97.38K","0.16%"
"11/22/2013","505.64","504.52","506.46","502.83","106.38K","0.42%"
"11/21/2013","503.54","507.00","510.21","503.54","173.94K","-0.39%"
"11/20/2013","505.52","504.68","505.75","502.98","107.16K","0.16%"
"11/19/2013","504.71","505.45","507.63","504.71","96.55K","-0.35%"
"11/18/2013","506.48","503.33","507.41","503.33","115.88K","1.03%"
"11/15/2013","501.34","497.88","502.12","497.72","91.22K","0.70%"
"11/14/2013","497.85","496.67","498.82","496.12","65.07K","0.35%"
"11/13/2013","496.12","496.90","498.62","495.68","64.53K","-0.31%"
"11/12/2013","497.65","500.81","501.36","496.79","121.98K","-0.68%"
"11/11/2013","501.08","498.03","501.08","497.41","93.28K","0.50%"
"11/08/2013","498.61","498.80","500.47","498.33","72.79K","-0.25%"
"11/07/2013","499.86","501.40","503.30","499.29","106.54K","-0.53%"
"11/06/2013","502.52","500.83","502.52","499.58","81.85K","0.55%"
"11/05/2013","499.79","497.38","500.28","495.84","75.86K","0.55%"
"11/04/2013","497.07","497.25","498.49","495.68","65.13K","0.00%"
"11/01/2013","497.08","499.21","499.27","496.93","42.53K","-0.07%"
"10/31/2013","497.41","500.04","500.59","497.41","43.35K","-0.33%"
"10/30/2013","499.07","498.00","500.97","497.95","48.37K","0.40%"
"10/29/2013","497.08","494.66","497.74","494.01","57.87K","0.12%"
"10/28/2013","496.46","501.27","501.86","496.46","73.72K","-0.86%"
"10/25/2013","500.75","502.80","503.17","499.53","74.17K","-0.08%"
"10/24/2013","501.17","503.47","505.74","500.64","86.40K","-0.57%"
"10/23/2013","504.05","501.41","504.81","501.41","82.43K","0.70%"
"10/22/2013","500.57","500.94","502.95","498.74","74.97K","-0.20%"
"10/21/2013","501.57","501.80","503.72","500.25","112.33K","0.15%"
"10/18/2013","500.83","499.89","501.39","497.91","69.75K","0.25%"
"10/17/2013","499.59","501.88","502.64","498.83","64.10K","0.13%"
"10/16/2013","498.96","495.59","500.60","495.02","69.93K","0.65%"
"10/15/2013","495.72","493.03","495.72","492.37","50.45K","0.43%"
"10/14/2013","493.62","494.31","495.67","492.81","38.40K","-0.18%"
