date, sell_price, buy_price
2023-02-23 00:00,54350,53450
2023-02-23 08:20,54250,53350
2023-02-23 10:10,54300,53400
2023-02-23 13:45,54350,53450
2023-02-23 14:25,54300,53400
2023-02-23 15:15,54250,53350
2023-02-24 00:00,54250,53350
2023-02-24 14:00,54200,53300
2023-02-25 00:00,54200,53300
2023-02-25 08:35,54100,53200
2023-02-25 08:40,54000,53100
2023-02-25 09:25,53950,53050
2023-02-26 00:00,53950,53050
2023-02-27 00:00,53950,53050
2023-02-27 08:25,54000,53100
2023-02-27 09:00,54050,53150
2023-02-27 10:05,54000,53100
2023-02-27 11:40,53950,53050
2023-02-27 15:10,54000,53100
2023-02-28 00:00,54000,53100
2023-02-28 08:30,54100,53200
2023-02-28 09:00,54050,53150
2023-02-28 11:20,54000,53100
2023-02-28 14:25,53950,53050
2023-02-28 15:25,53900,53000
2023-02-28 15:30,53950,53050
2023-03-01 00:00,53950,53050
2023-03-01 08:30,54100,53200
2023-03-01 11:20,54050,53150
2023-03-01 13:40,54100,53200
2023-03-01 14:30,54050,53150
2023-03-01 16:05,54100,53200
2023-03-01 16:15,54050,53150
2023-03-02 00:00,54050,53150
2023-03-02 11:40,54100,53200
2023-03-02 13:40,54050,53150
2023-03-02 14:55,54100,53200
2023-03-02 15:55,54050,53150
2023-03-03 00:00,54050,53150
2023-03-03 08:20,54100,53200
2023-03-03 11:40,54150,53250
2023-03-03 14:10,54100,53200
2023-03-03 16:20,54150,53250
2023-03-04 00:00,54150,53250
2023-03-04 08:30,54250,53350
2023-03-04 08:55,54300,53400
2023-03-04 10:00,54350,53450
2023-03-05 00:00,54350,53450
2023-03-06 00:00,54350,53450
2023-03-06 08:25,54300,53400
2023-03-06 14:25,54350,53450
2023-03-07 00:00,54350,53450
2023-03-07 08:30,54300,53400
2023-03-07 11:15,54250,53350
2023-03-07 16:25,54200,53300
2023-03-08 00:00,54200,53300
2023-03-08 08:30,53900,53000
2023-03-08 10:20,53850,52950
2023-03-08 14:20,53900,53000
2023-03-08 15:45,53950,53050
2023-03-09 00:00,53950,53050
2023-03-09 08:25,54000,53100
2023-03-09 10:55,54050,53150
2023-03-09 13:30,54100,53200
2023-03-09 13:45,54150,53200
2023-03-09 15:50,54200,53250
2023-03-10 00:00,54200,53250
2023-03-10 08:25,54400,53450
2023-03-10 09:35,54350,53400
2023-03-10 14:25,54400,53450
2023-03-10 14:35,54350,53400
2023-03-10 14:40,54400,53450
2023-03-10 14:45,54350,53400
2023-03-10 15:05,54400,53450
2023-03-11 00:00,54400,53450
2023-03-11 08:25,54700,53700
2023-03-11 09:00,54750,53750
2023-03-11 09:20,54800,53800
2023-03-12 00:00,54800,53800
2023-03-13 00:00,54800,53800
2023-03-13 08:25,55000,54000
2023-03-13 08:30,55050,54050
2023-03-13 08:35,55000,54050
2023-03-13 08:55,54950,54000
2023-03-13 09:35,55000,54050
2023-03-13 09:55,55050,54100
2023-03-13 13:35,55000,54050
