,time,open,high,low,close,volume,ticker
277,2024-02-16,11390,11390,11160,11250,54200,FUEDCMID
278,2024-02-19,11500,11500,11220,11250,7000,FUEDCMID
279,2024-02-20,11250,11270,11250,11270,7200,FUEDCMID
280,2024-02-21,11270,11280,11240,11270,26200,FUEDCMID
281,2024-02-22,11200,11300,11200,11290,8600,FUEDCMID
282,2024-02-23,11350,11350,11050,11080,92800,FUEDCMID
283,2024-02-26,10900,11250,10900,11250,28400,FUEDCMID
284,2024-02-27,11200,11320,11200,11320,29900,FUEDCMID
285,2024-02-28,11300,11430,11300,11410,24000,FUEDCMID
286,2024-02-29,11500,11500,11360,11400,41000,FUEDCMID
287,2024-03-01,11420,11550,11420,11550,57300,FUEDCMID
288,2024-03-04,11550,11670,11550,11660,71000,FUEDCMID
289,2024-03-05,11700,11700,11620,11700,57700,FUEDCMID
