"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2012","441.49","442.51","443.50","439.32","5.72K","-0.49%"
"11/27/2012","443.68","444.89","445.77","442.47","4.54K","-0.33%"
"11/26/2012","445.17","450.54","450.64","444.54","6.31K","-1.01%"
"11/23/2012","449.73","452.42","453.46","449.09","6.77K","-0.56%"
"11/22/2012","452.24","451.76","453.43","450.94","4.81K","-0.14%"
"11/21/2012","452.87","454.57","456.43","451.55","8.54K","-0.49%"
"11/20/2012","455.10","452.12","455.66","450.40","9.24K","0.61%"
"11/19/2012","452.36","454.63","455.92","451.04","8.42K","-0.73%"
"11/16/2012","455.67","454.82","455.79","452.10","6.21K","-0.31%"
"11/15/2012","457.08","460.72","461.97","456.35","10.00K","-0.25%"
"11/14/2012","458.21","454.09","459.86","453.77","9.40K","0.69%"
"11/13/2012","455.08","457.50","458.65","455.08","9.99K","-1.19%"
"11/12/2012","460.56","455.92","460.64","455.92","15.74K","0.73%"
"11/09/2012","457.23","456.07","457.23","453.20","11.39K","0.32%"
"11/08/2012","455.78","449.12","455.78","448.46","10.81K","1.10%"
"11/07/2012","450.83","447.42","451.40","444.53","12.81K","0.94%"
"11/06/2012","446.63","446.05","449.31","443.86","9.85K","0.03%"
"11/05/2012","446.51","437.29","446.51","437.16","10.59K","1.04%"
"11/02/2012","441.90","452.83","452.83","441.42","22.14K","-3.53%"
"11/01/2012","458.06","458.30","460.76","458.06","12.10K","-0.11%"
"10/31/2012","458.56","458.41","460.57","456.38","7.80K","-0.10%"
"10/30/2012","459.04","460.91","462.71","459.04","7.34K","-0.43%"
"10/29/2012","461.03","460.57","463.25","459.70","6.80K","-0.24%"
"10/26/2012","462.16","459.43","463.94","459.43","6.02K","0.48%"
"10/25/2012","459.93","464.31","464.81","459.23","13.08K","-1.43%"
"10/24/2012","466.62","469.38","470.57","466.32","7.56K","-0.68%"
"10/23/2012","469.82","469.61","471.43","467.59","10.96K","0.09%"
"10/22/2012","469.39","470.72","470.94","466.48","11.42K","-0.40%"
"10/19/2012","471.26","472.87","474.49","466.45","19.94K","-0.15%"
"10/18/2012","471.96","467.79","472.31","467.39","17.25K","0.55%"
"10/17/2012","469.39","472.05","473.67","468.03","14.92K","-0.49%"
"10/16/2012","471.68","461.63","471.68","461.63","16.90K","2.24%"
"10/15/2012","461.34","459.57","462.82","459.56","15.13K","0.25%"
"10/12/2012","460.18","461.09","463.07","459.95","21.40K","-0.24%"
"10/11/2012","461.28","462.40","465.24","461.28","17.37K","-0.09%"
"10/10/2012","461.71","459.36","461.71","457.45","14.42K","0.35%"
"10/09/2012","460.09","461.06","462.51","458.47","14.07K","-0.04%"
"10/08/2012","460.26","452.48","460.26","452.48","15.11K","1.56%"
"10/05/2012","453.20","450.44","453.20","449.60","12.71K","0.80%"
"10/04/2012","449.62","450.48","451.57","448.16","9.27K","-0.18%"
"10/03/2012","450.44","450.53","452.59","447.35","11.16K","0.33%"
"10/02/2012","448.97","451.23","452.25","448.65","12.51K","-0.57%"
"10/01/2012","451.55","454.82","455.27","450.43","12.03K","-1.08%"
"09/28/2012","456.48","456.62","458.35","454.68","9.50K","-0.41%"
"09/27/2012","458.38","461.86","462.85","455.39","10.04K","-0.40%"
"09/26/2012","460.23","457.70","463.75","457.63","9.85K","0.81%"
"09/25/2012","456.52","455.25","459.10","453.52","9.22K","0.44%"
"09/24/2012","454.52","455.45","457.93","453.84","11.34K","-0.66%"
"09/21/2012","457.53","452.28","457.53","452.28","31.53K","1.75%"
"09/20/2012","449.66","453.89","454.71","445.40","21.44K","-1.63%"
"09/19/2012","457.13","454.24","460.94","454.24","19.38K","-0.72%"
