date,symbol,price
2018-10-23,FUESSV50,12800
2018-10-24,FUESSV50,12500
2018-10-25,FUESSV50,12100
2018-10-26,FUESSV50,12100
2018-10-29,FUESSV50,12050
2018-10-30,FUESSV50,12050
2018-10-31,FUESSV50,12050
2018-11-01,FUESSV50,12300
2018-11-02,FUESSV50,12400
2018-11-05,FUESSV50,12400
2018-11-06,FUESSV50,12450
2018-11-07,FUESSV50,12400
2018-11-08,FUESSV50,12510
2018-11-09,FUESSV50,12400
2018-11-12,FUESSV50,12300
2018-11-13,FUESSV50,12200
2018-11-14,FUESSV50,12200
2018-11-15,FUESSV50,12000
2018-11-16,FUESSV50,12050
2018-11-19,FUESSV50,12150
2018-11-20,FUESSV50,12300
2018-11-21,FUESSV50,12300
2018-11-22,FUESSV50,12310
2018-11-23,FUESSV50,12320
2018-11-26,FUESSV50,12400
2018-11-27,FUESSV50,12500
2018-11-28,FUESSV50,12500
2018-11-29,FUESSV50,12600
2018-11-30,FUESSV50,12600
2018-12-03,FUESSV50,12800
2018-12-04,FUESSV50,13000
2018-12-05,FUESSV50,12910
2018-12-06,FUESSV50,12900
2018-12-07,FUESSV50,13000
2018-12-10,FUESSV50,12900
2018-12-11,FUESSV50,12800
2018-12-12,FUESSV50,12880
2018-12-13,FUESSV50,12900
2018-12-14,FUESSV50,12880
2018-12-17,FUESSV50,12800
2018-12-18,FUESSV50,12450
2018-12-19,FUESSV50,12350
2018-12-20,FUESSV50,12350
2018-12-21,FUESSV50,12250
2018-12-24,FUESSV50,12100
2018-12-25,FUESSV50,11900
2018-12-26,FUESSV50,12000
2018-12-27,FUESSV50,12200
2018-12-28,FUESSV50,12250
2019-01-02,FUESSV50,11980
2019-01-03,FUESSV50,11750
2019-01-04,FUESSV50,11650
2019-01-07,FUESSV50,11750
2019-01-08,FUESSV50,11750
2019-01-09,FUESSV50,11950
2019-01-10,FUESSV50,12000
2019-01-11,FUESSV50,12050
2019-01-14,FUESSV50,12050
2019-01-15,FUESSV50,12100
2019-01-16,FUESSV50,12200
2019-01-17,FUESSV50,12150
2019-01-18,FUESSV50,12010
2019-01-21,FUESSV50,12150
2019-01-22,FUESSV50,12190
2019-01-23,FUESSV50,12190
2019-01-24,FUESSV50,12200
2019-01-25,FUESSV50,12250
2019-01-28,FUESSV50,12250
2019-01-29,FUESSV50,12200
2019-01-30,FUESSV50,12250
2019-01-31,FUESSV50,12280
2019-02-01,FUESSV50,12250
2019-02-11,FUESSV50,12400
2019-02-12,FUESSV50,12600
2019-02-13,FUESSV50,12700
2019-02-14,FUESSV50,12750
2019-02-15,FUESSV50,12850
2019-02-18,FUESSV50,13000
2019-02-19,FUESSV50,13200
2019-02-20,FUESSV50,13100
2019-02-21,FUESSV50,13200
2019-02-22,FUESSV50,13400
2019-02-25,FUESSV50,13450
2019-02-26,FUESSV50,13350
2019-02-27,FUESSV50,13350
2019-02-28,FUESSV50,13100
2019-03-01,FUESSV50,13100
2019-03-04,FUESSV50,13300
2019-03-05,FUESSV50,13350
2019-03-06,FUESSV50,13400
2019-03-07,FUESSV50,13400
2019-03-08,FUESSV50,13250
2019-03-11,FUESSV50,13250
2019-03-12,FUESSV50,13450
2019-03-13,FUESSV50,13500
2019-03-14,FUESSV50,13500
2019-03-15,FUESSV50,13410
2019-03-18,FUESSV50,13500
2019-03-19,FUESSV50,13450
2019-03-20,FUESSV50,13400
2019-03-21,FUESSV50,13340
2019-03-22,FUESSV50,13150
2019-03-25,FUESSV50,12900
2019-03-26,FUESSV50,12900
2019-03-27,FUESSV50,13000
2019-03-28,FUESSV50,13100
2019-03-29,FUESSV50,13200
2019-04-01,FUESSV50,13200
2019-04-02,FUESSV50,13130
2019-04-03,FUESSV50,13000
2019-04-04,FUESSV50,13100
2019-04-05,FUESSV50,13200
2019-04-08,FUESSV50,13300
2019-04-09,FUESSV50,13000
2019-04-10,FUESSV50,12900
2019-04-11,FUESSV50,13000
2019-04-12,FUESSV50,13200
2019-04-16,FUESSV50,12800
2019-04-17,FUESSV50,12800
2019-04-18,FUESSV50,12800
2019-04-19,FUESSV50,12700
2019-04-22,FUESSV50,12700
2019-04-23,FUESSV50,12790
2019-04-24,FUESSV50,12900
2019-04-25,FUESSV50,13000
2019-04-26,FUESSV50,13100
2019-05-02,FUESSV50,12900
2019-05-03,FUESSV50,12810
2019-05-06,FUESSV50,12700
2019-05-07,FUESSV50,12700
2019-05-08,FUESSV50,12700
2019-05-09,FUESSV50,12600
2019-05-10,FUESSV50,12800
2019-05-13,FUESSV50,12800
2019-05-14,FUESSV50,12800
2019-05-15,FUESSV50,12900
2019-05-16,FUESSV50,13000
2019-05-17,FUESSV50,13100
2019-05-20,FUESSV50,13150
2019-05-21,FUESSV50,13150
2019-05-22,FUESSV50,13100
2019-05-23,FUESSV50,13100
2019-05-24,FUESSV50,13000
2019-05-27,FUESSV50,12950
2019-05-28,FUESSV50,12900
2019-05-29,FUESSV50,12720
2019-05-30,FUESSV50,12800
2019-05-31,FUESSV50,12830
2019-06-03,FUESSV50,12710
2019-06-04,FUESSV50,12600
2019-06-05,FUESSV50,12610
2019-06-06,FUESSV50,12400
2019-06-07,FUESSV50,12580
2019-06-10,FUESSV50,12700
2019-06-11,FUESSV50,12700
2019-06-12,FUESSV50,12900
2019-06-13,FUESSV50,12600
2019-06-14,FUESSV50,12500
2019-06-17,FUESSV50,12300
2019-06-18,FUESSV50,12300
2019-06-19,FUESSV50,12500
2019-06-20,FUESSV50,12500
2019-06-21,FUESSV50,12600
2019-06-24,FUESSV50,12700
2019-06-25,FUESSV50,12800
2019-06-26,FUESSV50,12800
2019-06-27,FUESSV50,12400
2019-06-28,FUESSV50,12600
2019-07-01,FUESSV50,12650
2019-07-02,FUESSV50,12680
2019-07-03,FUESSV50,12600
2019-07-04,FUESSV50,12680
2019-07-05,FUESSV50,12700
2019-07-08,FUESSV50,12700
2019-07-09,FUESSV50,12700
2019-07-10,FUESSV50,12700
2019-07-11,FUESSV50,12750
2019-07-12,FUESSV50,12760
2019-07-15,FUESSV50,12650
2019-07-16,FUESSV50,12800
2019-07-17,FUESSV50,12800
2019-07-18,FUESSV50,12780
2019-07-19,FUESSV50,12810
2019-07-22,FUESSV50,12790
2019-07-23,FUESSV50,13000
2019-07-24,FUESSV50,13000
2019-07-25,FUESSV50,13100
2019-07-26,FUESSV50,13050
2019-07-29,FUESSV50,12950
2019-07-30,FUESSV50,12850
2019-07-31,FUESSV50,12780
2019-08-01,FUESSV50,12900
2019-08-02,FUESSV50,12900
2019-08-05,FUESSV50,12700
2019-08-06,FUESSV50,12550
2019-08-07,FUESSV50,12580
2019-08-08,FUESSV50,12620
2019-08-09,FUESSV50,12700
2019-08-12,FUESSV50,12760
2019-08-13,FUESSV50,12720
2019-08-14,FUESSV50,12750
2019-08-15,FUESSV50,12720
2019-08-16,FUESSV50,12880
2019-08-19,FUESSV50,12880
2019-08-20,FUESSV50,12930
2019-08-21,FUESSV50,12950
2019-08-22,FUESSV50,13000
2019-08-23,FUESSV50,13000
2019-08-26,FUESSV50,12900
2019-08-27,FUESSV50,13100
2019-08-28,FUESSV50,12900
2019-08-29,FUESSV50,12860
2019-08-30,FUESSV50,12950
2019-09-03,FUESSV50,12900
2019-09-04,FUESSV50,12870
2019-09-05,FUESSV50,12860
2019-09-06,FUESSV50,12860
2019-09-09,FUESSV50,12800
2019-09-10,FUESSV50,12820
2019-09-11,FUESSV50,12830
2019-09-12,FUESSV50,12870
2019-09-13,FUESSV50,12980
2019-09-16,FUESSV50,13000
2019-09-17,FUESSV50,13100
2019-09-18,FUESSV50,13150
2019-09-19,FUESSV50,13200
2019-09-20,FUESSV50,13250
2019-09-23,FUESSV50,13230
2019-09-24,FUESSV50,13180
2019-09-25,FUESSV50,13170
2019-09-26,FUESSV50,13190
2019-09-27,FUESSV50,13350
2019-09-30,FUESSV50,13360
2019-10-01,FUESSV50,13360
2019-10-02,FUESSV50,13360
2019-10-03,FUESSV50,13250
2019-10-04,FUESSV50,13280
2019-10-07,FUESSV50,13240
2019-10-08,FUESSV50,13250
2019-10-09,FUESSV50,13230
2019-10-10,FUESSV50,13200
2019-10-11,FUESSV50,13200
2019-10-14,FUESSV50,13220
2019-10-15,FUESSV50,13220
2019-10-16,FUESSV50,13280
2019-10-17,FUESSV50,13280
2019-10-18,FUESSV50,13280
2019-10-21,FUESSV50,13200
2019-10-22,FUESSV50,13200
2019-10-23,FUESSV50,13180
2019-10-24,FUESSV50,13300
2019-10-25,FUESSV50,13300
2019-10-28,FUESSV50,13330
2019-10-29,FUESSV50,13310
2019-10-30,FUESSV50,13320
2019-10-31,FUESSV50,13300
2019-11-01,FUESSV50,13500
2019-11-04,FUESSV50,13580
2019-11-05,FUESSV50,13610
2019-11-06,FUESSV50,13610
2019-11-07,FUESSV50,13650
2019-11-08,FUESSV50,13630
2019-11-11,FUESSV50,13550
2019-11-12,FUESSV50,13580
2019-11-13,FUESSV50,13500
2019-11-14,FUESSV50,13460
2019-11-15,FUESSV50,13430
2019-11-18,FUESSV50,13300
2019-11-19,FUESSV50,13300
2019-11-20,FUESSV50,13270
2019-11-21,FUESSV50,13160
2019-11-22,FUESSV50,12950
2019-11-25,FUESSV50,12930
2019-11-26,FUESSV50,13000
2019-11-27,FUESSV50,13000
2019-11-28,FUESSV50,12850
2019-11-29,FUESSV50,12870
2019-12-02,FUESSV50,12800
2019-12-03,FUESSV50,12700
2019-12-04,FUESSV50,12800
2019-12-05,FUESSV50,12800
2019-12-06,FUESSV50,12800
2019-12-09,FUESSV50,12800
2019-12-10,FUESSV50,12700
2019-12-11,FUESSV50,12750
2019-12-12,FUESSV50,12800
2019-12-13,FUESSV50,12800
2019-12-16,FUESSV50,12740
2019-12-17,FUESSV50,12600
2019-12-18,FUESSV50,12500
2019-12-19,FUESSV50,12450
2019-12-20,FUESSV50,12550
2019-12-23,FUESSV50,12570
2019-12-24,FUESSV50,12570
2019-12-25,FUESSV50,12600
2019-12-26,FUESSV50,12600
2019-12-27,FUESSV50,12600
2019-12-30,FUESSV50,12650
2019-12-31,FUESSV50,12650
2020-01-02,FUESSV50,12750
2020-01-03,FUESSV50,12870
2020-01-06,FUESSV50,12600
2020-01-07,FUESSV50,12650
2020-01-08,FUESSV50,12500
2020-01-09,FUESSV50,12650
2020-01-10,FUESSV50,12700
2020-01-13,FUESSV50,12700
2020-01-14,FUESSV50,12750
2020-01-15,FUESSV50,12770
2020-01-16,FUESSV50,12820
2020-01-17,FUESSV50,12900
2020-01-20,FUESSV50,12880
2020-01-21,FUESSV50,13000
2020-01-22,FUESSV50,13050
2020-01-30,FUESSV50,12600
2020-01-31,FUESSV50,12350
2020-02-03,FUESSV50,12250
2020-02-04,FUESSV50,12200
2020-02-05,FUESSV50,12200
2020-02-06,FUESSV50,12400
2020-02-07,FUESSV50,12400
2020-02-10,FUESSV50,12400
2020-02-11,FUESSV50,12400
2020-02-12,FUESSV50,12600
2020-02-13,FUESSV50,12600
2020-02-14,FUESSV50,12610
2020-02-17,FUESSV50,12600
2020-02-18,FUESSV50,12550
2020-02-19,FUESSV50,12550
2020-02-20,FUESSV50,12560
2020-02-21,FUESSV50,12550
2020-02-24,FUESSV50,12200
2020-02-25,FUESSV50,12300
2020-02-26,FUESSV50,12300
2020-02-27,FUESSV50,12400
2020-02-28,FUESSV50,12000
2020-03-02,FUESSV50,12200
2020-03-03,FUESSV50,12400
2020-03-04,FUESSV50,12400
2020-03-05,FUESSV50,12300
2020-03-06,FUESSV50,12100
2020-03-09,FUESSV50,11400
2020-03-10,FUESSV50,11500
2020-03-11,FUESSV50,11100
2020-03-12,FUESSV50,10700
2020-03-13,FUESSV50,10700
2020-03-16,FUESSV50,10500
2020-03-17,FUESSV50,10500
2020-03-18,FUESSV50,10400
2020-03-19,FUESSV50,10300
2020-03-20,FUESSV50,10000
2020-03-23,FUESSV50,9310
2020-03-24,FUESSV50,9300
2020-03-25,FUESSV50,9600
2020-03-26,FUESSV50,9550
2020-03-27,FUESSV50,9500
2020-03-30,FUESSV50,8860
2020-03-31,FUESSV50,8800
2020-04-01,FUESSV50,9200
2020-04-03,FUESSV50,9500
2020-04-06,FUESSV50,9900
2020-04-07,FUESSV50,10200
2020-04-08,FUESSV50,10200
2020-04-09,FUESSV50,10400
2020-04-10,FUESSV50,10400
2020-04-13,FUESSV50,10500
2020-04-14,FUESSV50,10700
2020-04-15,FUESSV50,10900
2020-04-16,FUESSV50,10800
2020-04-17,FUESSV50,10900
2020-04-20,FUESSV50,11000
2020-04-21,FUESSV50,10700
2020-04-22,FUESSV50,10700
2020-04-23,FUESSV50,10800
2020-04-24,FUESSV50,10600
2020-04-27,FUESSV50,10580
2020-04-28,FUESSV50,10500
2020-04-29,FUESSV50,10520
2020-05-04,FUESSV50,10400
2020-05-05,FUESSV50,10400
2020-05-06,FUESSV50,10700
2020-05-07,FUESSV50,11000
2020-05-08,FUESSV50,11400
2020-05-11,FUESSV50,11500
2020-05-12,FUESSV50,11500
2020-05-13,FUESSV50,11500
2020-05-14,FUESSV50,11500
2020-05-15,FUESSV50,11300
2020-05-18,FUESSV50,11500
2020-05-19,FUESSV50,11600
2020-05-20,FUESSV50,11700
2020-05-21,FUESSV50,11700
2020-05-22,FUESSV50,11600
2020-05-25,FUESSV50,11650
2020-05-26,FUESSV50,11850
2020-05-27,FUESSV50,11800
2020-05-28,FUESSV50,11800
2020-05-29,FUESSV50,11800
2020-06-01,FUESSV50,11900
2020-06-02,FUESSV50,11850
2020-06-03,FUESSV50,12000
2020-06-04,FUESSV50,12100
2020-06-05,FUESSV50,12100
2020-06-08,FUESSV50,12300
2020-06-09,FUESSV50,12250
2020-06-10,FUESSV50,12250
2020-06-11,FUESSV50,12100
2020-06-12,FUESSV50,12100
2020-06-15,FUESSV50,11800
2020-06-16,FUESSV50,11990
2020-06-17,FUESSV50,11700
2020-06-18,FUESSV50,11700
2020-06-19,FUESSV50,11750
2020-06-22,FUESSV50,11850
2020-06-23,FUESSV50,11900
2020-06-24,FUESSV50,11800
2020-06-25,FUESSV50,11700
2020-06-26,FUESSV50,11650
2020-06-29,FUESSV50,11300
2020-06-30,FUESSV50,11500
2020-07-01,FUESSV50,11500
2020-07-02,FUESSV50,11600
2020-07-03,FUESSV50,11600
2020-07-06,FUESSV50,11800
2020-07-07,FUESSV50,11900
2020-07-08,FUESSV50,11900
2020-07-09,FUESSV50,12000
2020-07-10,FUESSV50,11900
2020-07-13,FUESSV50,11800
2020-07-14,FUESSV50,11700
2020-07-15,FUESSV50,11800
2020-07-16,FUESSV50,11900
2020-07-17,FUESSV50,11900
2020-07-20,FUESSV50,11820
2020-07-21,FUESSV50,11800
2020-07-22,FUESSV50,11700
2020-07-23,FUESSV50,11550
2020-07-24,FUESSV50,11300
2020-07-27,FUESSV50,10700
2020-07-28,FUESSV50,11000
2020-07-29,FUESSV50,10700
2020-07-30,FUESSV50,10900
2020-07-31,FUESSV50,10900
2020-08-03,FUESSV50,11200
2020-08-04,FUESSV50,11300
2020-08-05,FUESSV50,11500
2020-08-06,FUESSV50,11500
2020-08-07,FUESSV50,11400
2020-08-10,FUESSV50,11500
2020-08-11,FUESSV50,11500
2020-08-12,FUESSV50,11500
2020-08-13,FUESSV50,11600
2020-08-14,FUESSV50,11600
2020-08-17,FUESSV50,11700
2020-08-18,FUESSV50,11700
2020-08-19,FUESSV50,11600
2020-08-20,FUESSV50,11600
2020-08-21,FUESSV50,11800
2020-08-24,FUESSV50,11900
2020-08-25,FUESSV50,12000
2020-08-26,FUESSV50,12000
2020-08-27,FUESSV50,12000
2020-08-28,FUESSV50,12200
2020-08-31,FUESSV50,12100
2020-09-01,FUESSV50,12200
2020-09-03,FUESSV50,12400
2020-09-04,FUESSV50,12300
2020-09-07,FUESSV50,12200
2020-09-08,FUESSV50,12200
2020-09-09,FUESSV50,12100
2020-09-10,FUESSV50,12100
2020-09-11,FUESSV50,12200
2020-09-14,FUESSV50,12300
2020-09-15,FUESSV50,12300
2020-09-16,FUESSV50,12300
2020-09-17,FUESSV50,12300
2020-09-18,FUESSV50,12400
2020-09-21,FUESSV50,12450
2020-09-22,FUESSV50,12400
