"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2011","484.74","484.74","484.74","484.74","-","1.68%"
"Apr 22, 2011","476.75","476.75","476.75","476.75","-","-1.44%"
"Apr 21, 2011","483.73","483.73","483.73","483.73","-","-0.37%"
"Apr 20, 2011","485.55","485.55","485.55","485.55","-","0.73%"
"Apr 19, 2011","482.05","482.05","482.05","482.05","-","-0.36%"
"Apr 18, 2011","483.80","483.80","483.80","483.80","-","-1.05%"
"Apr 15, 2011","488.92","488.92","488.92","488.92","-","-0.43%"
"Apr 14, 2011","491.02","491.02","491.02","491.02","-","-0.65%"
"Apr 13, 2011","494.25","494.25","494.25","494.25","-","-0.81%"
"Apr 08, 2011","498.28","498.28","498.28","498.28","-","0.23%"
"Apr 07, 2011","497.12","497.12","497.12","497.12","-","-0.28%"
"Apr 06, 2011","498.53","498.53","498.53","498.53","-","1.88%"
"Apr 05, 2011","489.35","489.35","489.35","489.35","-","0.25%"
"Apr 04, 2011","488.15","488.15","488.15","488.15","-","0.12%"
"Apr 01, 2011","487.57","487.57","487.57","487.57","-","-0.28%"
"Mar 31, 2011","488.94","488.94","488.94","488.94","-","-0.26%"
"Mar 30, 2011","490.23","490.23","490.23","490.23","-","0.28%"
"Mar 29, 2011","488.84","488.84","488.84","488.84","-","-0.20%"
"Mar 28, 2011","489.82","489.82","489.82","489.82","-","0.36%"
"Mar 25, 2011","488.07","488.07","488.07","488.07","-","-0.52%"
"Mar 24, 2011","490.60","490.60","490.60","490.60","-","-0.93%"
"Mar 23, 2011","495.22","495.22","495.22","495.22","-","1.43%"
"Mar 22, 2011","488.25","488.25","488.25","488.25","-","-1.65%"
"Mar 21, 2011","496.43","496.43","496.43","496.43","-","0.98%"
"Mar 18, 2011","491.61","491.61","491.61","491.61","-","1.05%"
"Mar 17, 2011","486.48","486.48","486.48","486.48","-","0.42%"
"Mar 16, 2011","484.44","484.44","484.44","484.44","-","-0.61%"
"Mar 15, 2011","487.39","487.39","487.39","487.39","-","-1.79%"
"Mar 14, 2011","496.25","496.25","496.25","496.25","-","-2.84%"
"Mar 11, 2011","510.74","510.74","510.74","510.74","-","2.58%"
"Mar 10, 2011","497.91","497.91","497.91","497.91","-","2.31%"
"Mar 09, 2011","486.67","486.67","486.67","486.67","-","-0.77%"
"Mar 08, 2011","490.43","490.43","490.43","490.43","-","1.05%"
"Mar 07, 2011","485.32","485.32","485.32","485.32","-","1.59%"
"Mar 04, 2011","477.72","477.72","477.72","477.72","-","1.10%"
"Mar 03, 2011","472.52","472.52","472.52","472.52","-","-0.77%"
"Mar 02, 2011","476.20","476.20","476.20","476.20","-","-1.98%"
"Mar 01, 2011","485.84","485.84","485.84","485.84","-","0.66%"
"Feb 28, 2011","482.67","482.67","482.67","482.67","-","-1.64%"
"Feb 25, 2011","490.71","490.71","490.71","490.71","-","1.82%"
"Feb 24, 2011","481.95","481.95","481.95","481.95","-","-1.42%"
"Feb 23, 2011","488.87","488.87","488.87","488.87","-","1.23%"
"Feb 22, 2011","482.91","482.91","482.91","482.91","-","-2.67%"
"Feb 21, 2011","496.18","496.18","496.18","496.18","-","-4.37%"
"Feb 18, 2011","518.86","518.86","518.86","518.86","-","-1.72%"
"Feb 17, 2011","527.94","527.94","527.94","527.94","-","-0.86%"
"Feb 16, 2011","532.52","532.52","532.52","532.52","-","-1.15%"
"Feb 15, 2011","538.69","538.69","538.69","538.69","-","0.78%"
"Feb 14, 2011","534.54","534.54","534.54","534.54","-","-1.03%"
"Feb 11, 2011","540.13","540.13","540.13","540.13","-","-0.24%"
"Feb 10, 2011","541.44","541.44","541.44","541.44","-","-0.38%"
"Feb 09, 2011","543.49","543.49","543.49","543.49","-","-0.00%"
"Feb 08, 2011","543.50","543.50","543.50","543.50","-","2.26%"
"Jan 28, 2011","531.47","531.47","531.47","531.47","-","1.42%"
"Jan 27, 2011","524.03","524.03","524.03","524.03","-","1.13%"
"Jan 26, 2011","518.16","518.16","518.16","518.16","-","-0.13%"
"Jan 25, 2011","518.82","518.82","518.82","518.82","-","-1.09%"
"Jan 24, 2011","524.52","524.52","524.52","524.52","-","-0.73%"
"Jan 21, 2011","528.36","528.36","528.36","528.36","-","1.60%"
"Jan 20, 2011","520.06","520.06","520.06","520.06","-","0.54%"
"Jan 19, 2011","517.26","517.26","517.26","517.26","-","1.26%"
"Jan 18, 2011","510.81","510.81","510.81","510.81","-","-0.42%"
"Jan 17, 2011","512.95","512.95","512.95","512.95","-","0.61%"
"Jan 14, 2011","509.86","509.86","509.86","509.86","-","1.00%"
"Jan 13, 2011","504.82","504.82","504.82","504.82","-","1.20%"
"Jan 12, 2011","498.84","498.84","498.84","498.84","-","0.25%"
"Jan 11, 2011","497.61","497.61","497.61","497.61","-","-1.18%"
"Jan 10, 2011","503.54","503.54","503.54","503.54","-","-0.13%"
"Jan 07, 2011","504.18","504.18","504.18","504.18","-","-0.37%"
"Jan 06, 2011","506.07","506.07","506.07","506.07","-","0.11%"
"Jan 05, 2011","505.53","505.53","505.53","505.53","-","-0.92%"
"Jan 04, 2011","510.23","510.23","510.23","510.23","-","-0.66%"
"Dec 31, 2010","513.60","513.60","513.60","513.60","-","1.17%"
"Dec 30, 2010","507.65","507.65","507.65","507.65","-","0.19%"
"Dec 29, 2010","506.67","506.67","506.67","506.67","-","-0.54%"
"Dec 28, 2010","509.42","509.42","509.42","509.42","-","1.18%"
"Dec 27, 2010","503.46","503.46","503.46","503.46","-","0.19%"
"Dec 24, 2010","502.49","502.49","502.49","502.49","-","-0.67%"
"Dec 23, 2010","505.88","505.88","505.88","505.88","-","-0.95%"
"Dec 22, 2010","510.72","510.72","510.72","510.72","-","-0.76%"
"Dec 21, 2010","514.64","514.64","514.64","514.64","-","-0.22%"
"Dec 20, 2010","515.75","515.75","515.75","515.75","-","-1.58%"
"Dec 17, 2010","524.03","524.03","524.03","524.03","-","1.08%"
"Dec 16, 2010","518.43","518.43","518.43","518.43","-","-3.10%"
"Dec 15, 2010","535.04","535.04","535.04","535.04","-","1.66%"
"Dec 14, 2010","526.29","526.29","526.29","526.29","-","0.87%"
"Dec 13, 2010","521.76","521.76","521.76","521.76","-","3.94%"
"Dec 10, 2010","501.99","501.99","501.99","501.99","-","2.95%"
"Dec 09, 2010","487.59","487.59","487.59","487.59","-","2.08%"
"Dec 08, 2010","477.67","477.67","477.67","477.67","-","-1.48%"
"Dec 07, 2010","484.87","484.87","484.87","484.87","-","-0.87%"
"Dec 06, 2010","489.14","489.14","489.14","489.14","-","0.40%"
"Dec 03, 2010","487.18","487.18","487.18","487.18","-","1.92%"
"Dec 02, 2010","478.00","478.00","478.00","478.00","-","1.73%"
"Dec 01, 2010","469.86","469.86","469.86","469.86","-","-0.56%"
"Nov 30, 2010","472.49","472.49","472.49","472.49","-","0.97%"
"Nov 29, 2010","467.96","467.96","467.96","467.96","-","1.93%"
"Nov 26, 2010","459.11","459.11","459.11","459.11","-","-0.42%"
"Nov 25, 2010","461.05","461.05","461.05","461.05","-","0.67%"
"Nov 24, 2010","458.00","458.00","458.00","458.00","-","0.77%"
"Nov 23, 2010","454.50","454.50","454.50","454.50","-","1.71%"
"Nov 22, 2010","446.86","446.86","446.86","446.86","-","0.25%"
"Nov 19, 2010","445.73","445.73","445.73","445.73","-","-0.51%"
"Nov 18, 2010","448.03","448.03","448.03","448.03","-","1.28%"
"Nov 17, 2010","442.36","442.36","442.36","442.36","-","-0.80%"
"Nov 16, 2010","445.91","445.91","445.91","445.91","-","-1.51%"
"Nov 15, 2010","452.73","452.73","452.73","452.73","-","-2.06%"
"Nov 12, 2010","462.24","462.24","462.24","462.24","-","-1.46%"
"Nov 11, 2010","469.11","469.11","469.11","469.11","-","-0.89%"
"Nov 10, 2010","473.30","473.30","473.30","473.30","-","0.20%"
"Nov 09, 2010","472.34","472.34","472.34","472.34","-","-1.57%"
"Nov 08, 2010","479.85","479.85","479.85","479.85","-","-0.33%"
"Nov 05, 2010","481.46","481.46","481.46","481.46","-","1.89%"
"Nov 04, 2010","472.55","472.55","472.55","472.55","-","0.82%"
"Nov 03, 2010","468.71","468.71","468.71","468.71","-","-0.42%"
"Nov 02, 2010","470.67","470.67","470.67","470.67","-","-0.82%"
"Nov 01, 2010","474.56","474.56","474.56","474.56","-","-0.42%"
"Oct 29, 2010","476.56","476.56","476.56","476.56","-","0.79%"
"Oct 28, 2010","472.81","472.81","472.81","472.81","-","0.33%"
"Oct 27, 2010","471.26","471.26","471.26","471.26","-","-1.08%"
"Oct 26, 2010","476.42","476.42","476.42","476.42","-","1.62%"
"Oct 25, 2010","468.81","468.81","468.81","468.81","-","0.72%"
"Oct 22, 2010","465.45","465.45","465.45","465.45","-","0.22%"
"Oct 21, 2010","464.45","464.45","464.45","464.45","-","0.76%"
"Oct 20, 2010","460.96","460.96","460.96","460.96","-","-2.65%"
"Oct 19, 2010","473.51","473.51","473.51","473.51","-","-0.59%"
"Oct 18, 2010","476.33","476.33","476.33","476.33","-","-0.33%"
"Oct 15, 2010","477.89","477.89","477.89","477.89","-","-0.35%"
"Oct 14, 2010","479.56","479.56","479.56","479.56","-","0.42%"
"Oct 13, 2010","477.55","477.55","477.55","477.55","-","0.39%"
"Oct 12, 2010","475.71","475.71","475.71","475.71","-","-1.24%"
"Oct 11, 2010","481.68","481.68","481.68","481.68","-","-0.06%"
"Oct 08, 2010","481.98","481.98","481.98","481.98","-","-0.34%"
"Oct 07, 2010","483.61","483.61","483.61","483.61","-","0.12%"
"Oct 06, 2010","483.05","483.05","483.05","483.05","-","2.01%"
"Oct 05, 2010","473.55","473.55","473.55","473.55","-","1.33%"
"Oct 04, 2010","467.33","467.33","467.33","467.33","-","-0.85%"
"Oct 01, 2010","471.35","471.35","471.35","471.35","-","-0.54%"
"Sep 30, 2010","473.93","473.93","473.93","473.93","-","0.42%"
"Sep 29, 2010","471.93","471.93","471.93","471.93","-","-0.34%"
"Sep 28, 2010","473.56","473.56","473.56","473.56","-","1.12%"
"Sep 27, 2010","468.32","468.32","468.32","468.32","-","0.16%"
"Sep 24, 2010","467.58","467.58","467.58","467.58","-","-0.09%"
"Sep 23, 2010","468.01","468.01","468.01","468.01","-","-0.35%"
"Sep 22, 2010","469.64","469.64","469.64","469.64","-","0.31%"
"Sep 21, 2010","468.21","468.21","468.21","468.21","-","-1.75%"
"Sep 20, 2010","476.57","476.57","476.57","476.57","-","0.10%"
"Sep 17, 2010","476.11","476.11","476.11","476.11","-","2.01%"
"Sep 16, 2010","466.73","466.73","466.73","466.73","-","-0.17%"
"Sep 15, 2010","467.54","467.54","467.54","467.54","-","-0.16%"
"Sep 14, 2010","468.27","468.27","468.27","468.27","-","0.04%"
"Sep 13, 2010","468.09","468.09","468.09","468.09","-","-0.51%"
"Sep 10, 2010","470.51","470.51","470.51","470.51","-","-2.91%"
"Sep 09, 2010","484.63","484.63","484.63","484.63","-","1.30%"
"Sep 08, 2010","478.40","478.40","478.40","478.40","-","-0.51%"
"Sep 07, 2010","480.86","480.86","480.86","480.86","-","-1.57%"
"Sep 06, 2010","488.54","488.54","488.54","488.54","-","1.43%"
"Sep 01, 2010","481.65","481.65","481.65","481.65","-","0.62%"
"Aug 31, 2010","478.70","478.70","478.70","478.70","-","2.58%"
"Aug 30, 2010","466.65","466.65","466.65","466.65","-","3.61%"
"Aug 27, 2010","450.41","450.41","450.41","450.41","-","0.56%"
"Aug 26, 2010","447.91","447.91","447.91","447.91","-","1.21%"
"Aug 25, 2010","442.55","442.55","442.55","442.55","-","-1.87%"
"Aug 24, 2010","450.97","450.97","450.97","450.97","-","-3.16%"
"Aug 23, 2010","465.68","465.68","465.68","465.68","-","-1.39%"
"Aug 20, 2010","472.26","472.26","472.26","472.26","-","1.40%"
"Aug 19, 2010","465.75","465.75","465.75","465.75","-","-0.92%"
"Aug 18, 2010","470.08","470.08","470.08","470.08","-","-2.01%"
"Aug 17, 2010","479.72","479.72","479.72","479.72","-","-0.26%"
"Aug 16, 2010","480.99","480.99","480.99","480.99","-","2.52%"
"Aug 13, 2010","469.15","469.15","469.15","469.15","-","0.59%"
"Aug 12, 2010","466.41","466.41","466.41","466.41","-","-3.06%"
"Aug 11, 2010","481.11","481.11","481.11","481.11","-","0.14%"
"Aug 10, 2010","480.46","480.46","480.46","480.46","-","-2.36%"
