"date","TCEF","TCBF"
"2017-01-12",11030,10932
"2017-01-13",11030,10932
"2017-01-16",11030,10932
"2017-01-17",10930,10932
"2017-01-18",10930,10932
"2017-01-19",10930,10932
"2017-01-20",10930,10932
"2017-01-23",10930,10932
"2017-01-24",10930,10932
"2017-01-25",10930,10932
"2017-01-26",10930,10932
"2017-01-27",10930,10932
"2017-01-30",10930,10932
"2017-01-31",10950,10936
"2017-02-01",10950,10936
"2017-02-02",10950,10936
"2017-02-03",10950,10936
"2017-02-06",10950,10936
"2017-02-07",11194,10974
"2017-02-08",11194,10974
"2017-02-09",11194,10974
"2017-02-10",11194,10974
"2017-02-13",11194,10974
"2017-02-14",11318,10977
"2017-02-15",11318,10977
"2017-02-16",11318,10977
"2017-02-17",11318,10977
"2017-02-20",11318,10977
"2017-02-21",11305,11004
"2017-02-22",11305,11034
"2017-02-23",11305,11034
"2017-02-24",11305,11034
"2017-02-27",11305,11004
"2017-02-28",11339,11020
"2017-03-01",11339,11020
"2017-03-02",11339,11020
"2017-03-03",11339,11020
"2017-03-06",11339,11020
"2017-03-07",11161,11031
"2017-03-08",11161,11031
"2017-03-09",11161,11031
"2017-03-10",11161,11031
"2017-03-13",11161,11031
"2017-03-14",11151,11021
"2017-03-15",11151,11021
"2017-03-16",11151,11021
"2017-03-17",11151,11021
"2017-03-20",11151,11021
"2017-03-21",11278,11056
"2017-03-22",11278,11056
"2017-03-23",11278,11047
"2017-03-24",11278,11047
"2017-03-27",11278,11047
"2017-03-28",11353,11059
"2017-03-29",11353,11059
"2017-03-30",11353,11057
"2017-03-31",11353,11057
"2017-04-03",11353,11057
"2017-04-04",11326,11077
"2017-04-05",11326,11077
"2017-04-06",11326,11077
"2017-04-07",11326,11077
"2017-04-10",11326,11077
"2017-04-11",11326,11085
"2017-04-12",11326,11085
"2017-04-13",11326,11088
"2017-04-14",11326,11088
"2017-04-17",11326,11088
"2017-04-18",10952,11103
"2017-04-19",10952,11103
"2017-04-20",10952,11108
"2017-04-21",10952,11108
"2017-04-24",10952,11108
"2017-04-25",10939,11101
"2017-04-26",10939,11101
"2017-04-27",10939,11119
"2017-04-28",10939,11119
"2017-05-01",10939,11119
"2017-05-02",10939,11119
"2017-05-03",10939,11119
"2017-05-04",10939,11129
"2017-05-05",10939,11129
"2017-05-08",10939,11129
"2017-05-09",11111,11136
"2017-05-10",11111,11136
"2017-05-11",11111,11172
"2017-05-12",11111,11172
"2017-05-15",11111,11172
"2017-05-16",11336,11137
"2017-05-17",11336,11137
"2017-05-18",11336,11153
"2017-05-19",11336,11153
"2017-05-22",11336,11153
"2017-05-23",11526,11167
"2017-05-24",11526,11167
"2017-05-25",11526,11205
"2017-05-26",11526,11205
"2017-05-29",11526,11205
"2017-05-30",11692,11217
"2017-05-31",11692,11217
"2017-06-01",11692,11220
"2017-06-02",11692,11220
"2017-06-05",11692,11220
"2017-06-06",11660,11187
"2017-06-07",11660,11187
"2017-06-08",11660,11236
"2017-06-09",11660,11236
"2017-06-12",11660,11236
"2017-06-13",11880,11224
"2017-06-14",11880,11224
"2017-06-15",11880,11255
"2017-06-16",11880,11255
"2017-06-19",11880,11255
"2017-06-20",12183,11265
"2017-06-21",12183,11265
"2017-06-22",12183,11283
"2017-06-23",12183,11283
"2017-06-26",12183,11283
"2017-06-27",12169,11311
"2017-06-28",12169,11311
"2017-06-29",12169,11283
"2017-06-30",12169,11283
"2017-07-03",12169,11283
"2017-07-04",12319,11277
"2017-07-05",12319,11277
"2017-07-06",12319,11307
"2017-07-07",12319,11307
"2017-07-10",12319,11307
"2017-07-11",12164,11322
"2017-07-12",12164,11322
"2017-07-13",12164,11333
"2017-07-14",12164,11333
"2017-07-17",12164,11333
"2017-07-18",12062,11355
"2017-07-19",12062,11355
"2017-07-20",12062,11343
"2017-07-21",12062,11343
"2017-07-24",12062,11343
"2017-07-25",11789,11363
"2017-07-26",11789,11363
"2017-07-27",11789,11362
"2017-07-28",11789,11362
"2017-07-31",11789,11362
"2017-08-01",12077,11387
"2017-08-02",12077,11387
"2017-08-03",12077,11374
"2017-08-04",12077,11374
"2017-08-07",12077,11374
"2017-08-08",12192,11399
"2017-08-09",12192,11399
"2017-08-10",12192,11390
"2017-08-11",12192,11390
"2017-08-14",12192,11390
"2017-08-15",12080,11438
"2017-08-16",12080,11438
"2017-08-17",12080,11459
"2017-08-18",12080,11459
"2017-08-21",12080,11459
"2017-08-22",11990,11429
"2017-08-23",11990,11429
"2017-08-24",11990,11420
"2017-08-25",11990,11420
"2017-08-28",11990,11420
"2017-08-29",12190,11439
"2017-08-30",12190,11439
"2017-08-31",12190,11447
"2017-09-01",12190,11447
"2017-09-04",12190,11447
"2017-09-05",12300,11463
"2017-09-06",12300,11463
"2017-09-07",12300,11473
"2017-09-08",12300,11473
"2017-09-11",12300,11473
"2017-09-12",12300,11470
"2017-09-13",12300,11470
"2017-09-14",12300,11474
"2017-09-15",12300,11474
"2017-09-18",12300,11474
"2017-09-19",12474,11496
"2017-09-20",12474,11496
"2017-09-21",12474,11502
"2017-09-22",12474,11502
"2017-09-25",12474,11502
"2017-09-26",12517,11510
"2017-09-27",12517,11510
"2017-09-28",12517,11513
"2017-09-29",12517,11513
"2017-10-02",12517,11513
"2017-10-03",12568,11508
"2017-10-04",12568,11508
"2017-10-05",12568,11505
"2017-10-06",12568,11505
"2017-10-09",12568,11505
"2017-10-10",12622,11521
"2017-10-11",12622,11521
"2017-10-12",12622,11530
"2017-10-13",12622,11530
"2017-10-16",12622,11530
"2017-10-17",12774,11547
"2017-10-18",12774,11547
"2017-10-19",12774,11539
"2017-10-20",12774,11539
"2017-10-23",12774,11539
"2017-10-24",12608,11561
"2017-10-25",12608,11561
"2017-10-26",12608,11562
"2017-10-27",12608,11562
"2017-10-30",12608,11562
"2017-10-31",12731,11573
"2017-11-01",12731,11573
"2017-11-02",12731,11564
"2017-11-03",12731,11564
"2017-11-06",12731,11564
"2017-11-07",12828,11590
"2017-11-08",12828,11590
"2017-11-09",12828,11583
"2017-11-10",12828,11583
"2017-11-13",12828,11583
"2017-11-14",13318,11634
"2017-11-15",13318,11634
"2017-11-16",13318,11613
"2017-11-17",13318,11613
"2017-11-20",13318,11613
"2017-11-21",13689,11620
"2017-11-22",13689,11620
"2017-11-23",13689,11632
"2017-11-24",13689,11632
"2017-11-27",13689,11632
"2017-11-28",14131,11639
"2017-11-29",14131,11639
"2017-11-30",14131,11650
"2017-12-01",14131,11650
"2017-12-04",14131,11650
"2017-12-05",14720,11669
"2017-12-06",14720,11669
"2017-12-07",14720,11684
"2017-12-08",14720,11684
"2017-12-11",14720,11684
"2017-12-12",13983,11707
"2017-12-13",13983,11707
"2017-12-14",13983,11711
"2017-12-15",13983,11711
"2017-12-18",13983,11711
"2017-12-19",14696,11718
"2017-12-20",14696,11718
"2017-12-21",14696,11733
"2017-12-22",14696,11733
"2017-12-25",14696,11733
"2017-12-26",14979,11728
"2017-12-27",14979,11728
"2017-12-28",14979,11765
"2017-12-29",14979,11765
"2018-01-01",14979,11765
"2018-01-02",15430,11781
"2018-01-03",15430,11781
"2018-01-04",15430,11833
"2018-01-05",15430,11833
"2018-01-08",15430,11833
"2018-01-09",15972,11810
"2018-01-10",15972,11810
"2018-01-11",15972,11797
"2018-01-12",15972,11797
"2018-01-15",15972,11797
"2018-01-16",16491,11837
"2018-01-17",16491,11837
"2018-01-18",16491,11815
"2018-01-19",16491,11815
"2018-01-22",16491,11815
"2018-01-23",16753,11812
"2018-01-24",16753,11812
"2018-01-25",16753,11817
"2018-01-26",16753,11817
"2018-01-29",16753,11817
"2018-01-30",17144,11835
"2018-01-31",17144,11835
"2018-02-01",17144,11810
"2018-02-02",17144,11810
"2018-02-05",17144,11810
"2018-02-06",15870,11856
"2018-02-07",15870,11856
"2018-02-08",15870,11856
"2018-02-09",15870,11856
"2018-02-12",15870,11856
"2018-02-13",15326,11866
"2018-02-14",15326,11866
"2018-02-15",15326,11866
"2018-02-16",15326,11866
"2018-02-19",15326,11866
"2018-02-20",15326,11866
"2018-02-21",15326,11866
"2018-02-22",15326,11894
"2018-02-23",15326,11894
"2018-02-26",15326,11894
"2018-02-27",16051,11892
"2018-02-28",16051,11892
"2018-03-01",16051,11907
"2018-03-02",16051,11907
"2018-03-05",16051,11907
"2018-03-06",15984,11906
"2018-03-07",15984,11906
"2018-03-08",15984,11911
"2018-03-09",15984,11911
"2018-03-12",15984,11911
"2018-03-13",16148,11932
"2018-03-14",16148,11932
"2018-03-15",16148,11940
"2018-03-16",16148,11940
"2018-03-19",16148,11940
"2018-03-20",16647,11957
"2018-03-21",16647,11957
"2018-03-22",16647,11938
"2018-03-23",16647,11938
"2018-03-26",16647,11938
"2018-03-27",16505,11985
"2018-03-28",16505,11985
"2018-03-29",16505,11980
"2018-03-30",16505,11980
"2018-04-02",16505,11980
"2018-04-03",16748,11985
"2018-04-04",16748,11985
"2018-04-05",16748,11994
"2018-04-06",16748,11994
"2018-04-09",16748,11994
"2018-04-10",16859,11985
"2018-04-11",16859,11985
"2018-04-12",16859,12016
"2018-04-13",16859,12016
"2018-04-16",16859,12016
"2018-04-17",16272,12046
"2018-04-18",16272,12046
"2018-04-19",16272,12044
"2018-04-20",16272,12044
"2018-04-23",16272,12044
"2018-04-24",15212,12050
"2018-04-25",15212,12050
"2018-04-26",15212,12048
"2018-04-27",15212,12048
"2018-04-30",15212,12048
"2018-05-01",15212,12048
"2018-05-02",15212,12048
"2018-05-03",15212,12074
"2018-05-04",15212,12074
"2018-05-07",15212,12074
"2018-05-08",14724,12070
"2018-05-09",14724,12070
"2018-05-10",14730,12075
"2018-05-11",14640,12075
"2018-05-14",14705,12075
"2018-05-15",14783,12083
"2018-05-16",14813,12083
"2018-05-17",14681,12084
"2018-05-18",14683,12084
"2018-05-21",14671,12084
"2018-05-22",14611,12136
"2018-05-23",14459,12136
"2018-05-24",14481,12114
"2018-05-25",14457,12114
"2018-05-28",14370,12114
"2018-05-29",14229,12111
"2018-05-30",14320,12111
"2018-05-31",14296,12124
"2018-06-01",14382,12124
"2018-06-04",14422,12124
"2018-06-05",14523,12125
"2018-06-06",14534,12125
"2018-06-07",14638,12127
"2018-06-08",14611,12127
"2018-06-11",14585,12127
"2018-06-12",14573,12159
"2018-06-13",14408,12159
"2018-06-14",14466,12151
"2018-06-15",14389,12151
"2018-06-18",14425,12151
"2018-06-19",13959,12171
"2018-06-20",13552,12171
"2018-06-21",13648,12170
"2018-06-22",13573,12170
"2018-06-25",13694,12170
"2018-06-26",13727,12198
"2018-06-27",13698,12198
"2018-06-28",13663,12198
"2018-06-29",13578,12198
"2018-07-02",13575,12198
"2018-07-03",13530,12235
"2018-07-04",13437,12228
"2018-07-05",13448,12230
"2018-07-06",13449,12226
"2018-07-09",13486,12238
"2018-07-10",13435,12231
"2018-07-11",13450,12240
"2018-07-12",13430,12243
"2018-07-13",13430,12238
"2018-07-16",13439,12238
"2018-07-17",13466,12245
"2018-07-18",13489,12251
"2018-07-19",13519,12248
"2018-07-20",13542,12291
"2018-07-23",13524,12272
"2018-07-24",13533,12338
"2018-07-25",13473,12294
"2018-07-26",13502,12286
"2018-07-27",13526,12336
"2018-07-30",13546,12316
"2018-07-31",13586,12319
"2018-08-01",13590,12311
"2018-08-02",13572,12332
"2018-08-03",13579,12312
"2018-08-06",13588,12334
