"date","XAU_VND"
"2016-06-28","35273775.81303"
"2016-06-29","35472271.807611"
"2016-06-30","35585467.529385"
"2016-07-01","36126982.002975"
"2016-07-04","36330785.211645"
"2016-07-05","36473313.492387"
"2016-07-06","36710527.070052"
"2016-07-07","36620332.80066"
"2016-07-08","36733646.41578"
"2016-07-11","36429768.6904125"
"2016-07-12","35796192.179475"
"2016-07-13","36095641.21803"
"2016-07-14","35892151.37079"
"2016-07-15","35993502.75393"
"2016-07-18","35714505.920076"
"2016-07-19","35817125.8443"
"2016-07-20","35367812.636265"
"2016-07-21","35784348.564261"
"2016-07-22","35547004.55397"
"2016-07-25","35366847.919524"
"2016-07-26","35499589.0752"
"2016-07-27","36033040.55061"
"2016-07-28","35909090.418888"
"2016-07-29","36321251.3740065"
"2016-08-01","36368406.2527785"
"2016-08-02","36678567.676608"
"2016-08-03","36472350.60831"
"2016-08-04","36590528.1378"
"2016-08-05","35919827.97315"
"2016-08-08","35890018.342806"
"2016-08-09","36065866.4263875"
"2016-08-10","36230795.943966"
"2016-08-11","36027401.925762"
"2016-08-12","35927898.555183"
"2016-08-15","36045431.842992"
"2016-08-16","36187332.122832"
"2016-08-17","36260756.732919"
"2016-08-18","36351546.497541"
"2016-08-19","36066070.858851"
"2016-08-22","35995112.978337"
"2016-08-23","35995388.70987"
"2016-08-24","35611762.4296875"
"2016-08-25","35562987.252885"
"2016-08-26","35558607.60792"
"2016-08-29","35589850.6045665"
"2016-08-30","35259357.69072"
"2016-08-31","35201773.639575"
"2016-09-01","35312135.9723775"
"2016-09-02","35599329.8059095"
"2016-09-05","35683746.029334"
"2016-09-06","36291116.946168"
"2016-09-07","36170426.834334"
"2016-09-08","35975488.6012275"
"2016-09-09","35710915.8217275"
"2016-09-12","35664119.37948"
"2016-09-13","35453514.6061125"
"2016-09-14","35572435.021629"
"2016-09-15","35360945.4814875"
"2016-09-16","35263695.280869"
"2016-09-19","35321970.9516765"
"2016-09-20","35381436.98598"
"2016-09-21","35985940.84467"
"2016-09-22","35989186.046505"
"2016-09-23","35966886.3416655"
"2016-09-26","36013669.7322105"
"2016-09-27","35722482.686592"
"2016-09-28","35534472.3092295"
"2016-09-29","35488693.622466"
"2016-09-30","35375221.337226"
"2016-10-03","35281931.071374"
"2016-10-04","34100157.018345"
"2016-10-05","34065538.53795"
"2016-10-06","33731793.881346"
"2016-10-07","33790228.541784"
"2016-10-10","33870767.9514"
