"Date","Price","Open","High","Low","Change %"
"Sep 16, 2009","17,832.5","17,826.0","17,834.5","17,820.0","-0.01%"
"Sep 15, 2009","17,834.0","17,830.0","17,834.0","17,820.0","0.01%"
"Sep 14, 2009","17,832.5","17,823.0","17,832.5","17,820.0","0.04%"
"Sep 11, 2009","17,825.5","17,821.0","17,835.5","17,820.0","-0.02%"
"Sep 10, 2009","17,829.5","17,822.0","17,833.5","17,820.0","0.00%"
"Sep 09, 2009","17,829.5","17,820.0","17,829.5","17,820.0","0.02%"
"Sep 08, 2009","17,826.5","17,817.0","17,826.5","17,815.0","0.04%"
"Sep 07, 2009","17,820.0","17,815.0","17,829.0","17,806.0","-0.01%"
"Sep 04, 2009","17,821.5","17,814.0","17,825.5","17,806.0","0.00%"
"Sep 03, 2009","17,821.0","17,821.0","17,830.0","17,806.0","0.01%"
"Sep 02, 2009","17,820.0","17,815.0","17,820.0","17,815.0","0.00%"
"Sep 01, 2009","17,820.0","17,815.0","17,829.0","17,806.0","0.01%"
"Aug 31, 2009","17,819.0","17,813.0","17,826.0","17,806.0","0.02%"
"Aug 28, 2009","17,815.5","17,811.0","17,825.5","17,810.0","-0.03%"
"Aug 27, 2009","17,821.5","17,812.0","17,821.5","17,810.0","0.04%"
"Aug 26, 2009","17,815.0","17,810.0","17,824.0","17,810.0","-0.02%"
"Aug 25, 2009","17,818.5","17,811.0","17,821.5","17,806.0","0.00%"
"Aug 24, 2009","17,818.0","17,809.0","17,818.0","17,806.0","0.02%"
"Aug 21, 2009","17,814.0","17,806.0","17,816.0","17,806.0","0.00%"
"Aug 20, 2009","17,813.5","17,805.0","17,815.5","17,805.0","0.01%"
"Aug 19, 2009","17,812.0","17,807.0","17,820.0","17,806.0","-0.01%"
"Aug 18, 2009","17,814.0","17,806.0","17,817.0","17,806.0","0.00%"
"Aug 17, 2009","17,813.5","17,804.0","17,817.5","17,760.0","0.01%"
"Aug 14, 2009","17,812.5","17,811.0","17,813.5","17,803.0","-0.03%"
"Aug 13, 2009","17,818.0","17,810.0","17,818.0","17,802.0","0.04%"
"Aug 12, 2009","17,811.0","17,810.0","17,811.0","17,802.0","-0.00%"
"Aug 11, 2009","17,811.5","17,812.0","17,818.5","17,803.0","0.03%"
"Aug 10, 2009","17,807.0","17,810.0","17,815.0","17,792.0","-0.03%"
"Aug 07, 2009","17,813.0","17,812.0","17,818.0","17,804.0","0.03%"
"Aug 06, 2009","17,808.0","17,802.0","17,817.0","17,760.0","-0.01%"
"Aug 05, 2009","17,809.5","17,814.0","17,819.5","17,804.0","-0.02%"
"Aug 04, 2009","17,813.5","17,810.0","17,813.5","17,804.0","0.01%"
"Aug 03, 2009","17,811.0","17,814.0","17,819.0","17,805.0","-0.01%"
"Jul 31, 2009","17,813.5","17,810.0","17,815.5","17,760.0","-0.02%"
"Jul 30, 2009","17,816.5","17,816.0","17,819.5","17,806.0","0.01%"
"Jul 29, 2009","17,815.5","17,811.0","17,815.5","17,806.0","-0.01%"
"Jul 28, 2009","17,816.5","17,816.0","17,816.5","17,806.0","0.01%"
"Jul 27, 2009","17,814.5","17,814.0","17,814.5","17,800.0","0.02%"
"Jul 24, 2009","17,811.5","17,811.0","17,811.5","17,800.0","0.02%"
"Jul 23, 2009","17,808.0","17,811.0","17,817.0","17,760.0","-0.00%"
"Jul 22, 2009","17,808.5","17,810.0","17,812.5","17,775.0","0.00%"
