time,open,high,low,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2021-06-07,25500,25600,25250,25390,18040.011999234703,22569.1614493182,24079.587806020107,80.47675559104646,77.20693567279967,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08,25390,25390,24640,24900,18108.270586306993,22660.566882678268,24157.722300684858,68.64069096730414,77.26480637292057,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09,24800,25000,24000,25000,18176.84500833379,22752.309357867354,24237.939224429156,69.62261054819422,77.29409647272607,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10,25100,25100,24190,24360,18238.368938599124,22815.356049715694,24249.56406019781,57.26432469233863,76.19913213200542,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-11,24490,24970,24240,24970,18305.350342195154,22899.851890903316,24318.177006845635,63.850647342815165,75.49148210239595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-14,25190,25200,24680,24900,18370.968746750426,22978.289071652205,24373.588720479383,62.65727269694507,74.5807577784235,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-15,24600,25200,24520,25200,18438.919306484255,23065.414990410944,24452.294556624205,65.6227244043884,73.79942243187936,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-16,24900,25000,24290,24670,18500.92010940481,23128.33989274777,24473.02840837428,57.009403672810066,72.37682211587129,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-17,24450,24580,23990,24450,18560.11493418685,23180.169700875307,24470.83522662435,53.849804523219234,70.68031975644959,NaN,NaN,53.849804523219234,NaN,NaN,NaN,43.389913377411176
2021-06-18,24600,24820,24600,24770,18621.90483533922,23242.51598711549,24499.327109802984,57.53631248483784,69.19302666810928,NaN,NaN,NaN,NaN,NaN,NaN,38.736459177354845
2021-06-21,24700,25200,24600,24990,18685.26896633087,23311.044771934492,24546.05786125032,59.90748069663674,67.62497561313066,NaN,NaN,NaN,NaN,NaN,NaN,37.87304846694133
2021-06-22,25200,25200,24800,25030,18748.40061840718,23378.454780878237,24592.14758875029,60.341098725505965,66.05469042165126,NaN,NaN,NaN,NaN,NaN,NaN,36.563637742992796
2021-06-23,25100,25250,24950,25000,18810.605587378253,23442.04478947125,24630.990675535977,59.81855116966347,64.27093032947259,NaN,NaN,NaN,NaN,NaN,NaN,33.609673325794574
2021-06-24,25000,25200,24950,25200,18874.181651185434,23510.984209491984,24685.182039770647,62.17054468192815,62.76915872840239,NaN,NaN,NaN,NaN,NaN,NaN,33.71497734129389
2021-06-25,25200,25200,24890,25070,18935.831585004486,23572.122083629554,24721.8313693163,59.72343548559768,61.28677872087034,NaN,NaN,NaN,NaN,NaN,NaN,29.99779825330006
2021-06-28,25300,25420,25180,25380,18999.95266376066,23643.019256820553,24784.514096048082,63.42090543492217,60.91393689712877,NaN,NaN,NaN,NaN,NaN,NaN,31.599087228700228
2021-06-29,25450,25750,25430,25740,19067.017811384932,23725.253795768767,24875.512753567313,67.1880303802372,60.740038313703266,NaN,NaN,NaN,NaN,NaN,NaN,38.21549553504701
2021-06-30,25990,26500,25570,25700,19133.017634157222,23802.69482338568,24954.035348465663,66.37014580233193,61.39045410727421,NaN,NaN,NaN,NaN,NaN,NaN,41.154202154684754
2021-07-01,25500,25930,25500,25750,19198.85825471287,23879.059732272515,25029.841505754648,66.91234736310773,61.60914696586654,NaN,NaN,NaN,NaN,NaN,NaN,42.92164866560233
2021-07-02,25720,26170,25700,26100,19267.526331780406,23966.155429046143,25131.761362349444,70.49801285627935,62.16919983439042,NaN,NaN,NaN,NaN,NaN,NaN,49.38534268991043
2021-07-05,26200,26480,26100,26480,19339.292238926868,24064.73756908355,25260.165042125685,73.8157650084234,62.754417020392914,NaN,NaN,NaN,NaN,73.8157650084234,NaN,59.97246014146276
2021-07-06,26100,26880,26100,26100,19406.562962917644,24144.551782060666,25340.149323828,65.84172264656084,63.385296947089394,NaN,NaN,NaN,NaN,NaN,NaN,59.427668982271825
2021-07-07,25990,26200,25000,26200,19474.159351346323,24225.157594528875,25422.039864415812,66.85640501390974,64.31433983928157,NaN,NaN,NaN,NaN,NaN,NaN,59.298036557926935
2021-07-08,26200,26490,26000,26000,19539.093089143873,24294.759257488528,25477.083686852402,62.836108259920394,64.69289668035888,NaN,NaN,NaN,NaN,NaN,NaN,53.87285212392999
