date,price,returns,first_trading_day,units_purchased,total_units,total_cash,total_value,profit,profit_pct,label_txt
2023-05-15,21962.56,0.011237424315675648,FALSE,0,12765.747535161716,195000000,280368496.1858413,85368496.18584132,0.4377871599273915,NA
2023-05-16,21912.11,-0.002297091049495159,FALSE,0,12765.747535161716,195000000,279724464.2226924,84724464.22269237,0.43448443191124286,NA
2023-05-17,21935.53,0.0010688153719562443,FALSE,0,12765.747535161716,195000000,280023438.0299659,85023438.02996588,0.436017630922902,NA
2023-05-18,21811.15,-0.005670252781674212,FALSE,0,12765.747535161716,195000000,278435634.3515425,83435634.35154247,0.427875047956628,NA
2023-05-19,21978.28,0.007662594590381433,FALSE,0,12765.747535161716,195000000,280569173.73709404,85569173.73709404,0.43881627557484126,NA
2023-05-22,22120,0.006448184298316395,FALSE,0,12765.747535161716,195000000,282378335.4777772,87378335.47777718,0.44809402809116494,NA
2023-05-23,22254.19,0.006066455696202455,FALSE,0,12765.747535161716,195000000,284091371.13952047,89091371.13952047,0.4568788263565151,NA
2023-05-24,22167.27,-0.0039057813382558093,FALSE,0,12765.747535161716,195000000,282981772.3637642,87981772.36376423,0.45118857622443187,NA
2023-05-25,22100.69,-0.003003527272415707,FALSE,0,12765.747535161716,195000000,282131828.89287317,87131828.89287317,0.446829891758324,NA
2023-05-26,22258.33,0.007132808975647498,FALSE,0,12765.747535161716,195000000,284144221.3343161,89144221.33431607,0.4571498529964928,NA
2023-05-29,22297.64,0.001766080384287383,FALSE,0,12765.747535161716,195000000,284646042.8699233,89646042.8699233,0.4597232967688374,NA
2023-05-30,22503.64,0.009238645883600238,FALSE,0,12765.747535161716,195000000,287275786.8621666,92275786.86216658,0.47320916339572605,NA
2023-05-31,22634.01,0.005793284997449355,FALSE,0,12765.747535161716,195000000,288940057.3683256,93940057.36832559,0.48174388394013135,NA
2023-06-01,22588.4,-0.002015109121185188,TRUE,132.8115315825822,12898.559066744298,198000000,291357811.6232469,93357811.62324691,0.4715040991073076,NA
2023-06-02,22704.25,0.005128738644613939,FALSE,0,12898.559066744298,198000000,292852109.6911292,94852109.69112921,0.479051059046107,NA
2023-06-05,22822.51,0.005208716429743188,FALSE,0,12898.559066744298,198000000,294377493.28636235,96377493.28636235,0.48675501659778964,NA
2023-06-06,22931.22,0.004763279761954342,FALSE,0,12898.559066744298,198000000,295779695.6425082,97779695.64250821,0.49383684667933436,NA
