"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2017","23,931","23,575","23,931","23,575","1.03M","1.51%"
"07/27/2017","23,575","23,694","23,812","23,481","831.60K","-0.50%"
"07/26/2017","23,694","23,362","23,931","23,362","875.64K","1.42%"
"07/25/2017","23,362","23,220","23,410","23,173","879.40K","1.02%"
"07/24/2017","23,125","22,983","23,386","22,983","1.34M","0.62%"
"07/21/2017","22,983","23,812","23,931","22,865","2.98M","-3.48%"
"07/20/2017","23,812","24,168","24,168","23,694","1.69M","-1.57%"
"07/19/2017","24,191","24,215","24,263","24,049","781.72K","-0.10%"
"07/18/2017","24,215","24,286","24,357","24,049","625.44K","-0.97%"
"07/17/2017","24,452","24,168","24,855","24,168","2.27M","1.18%"
"07/14/2017","24,168","24,286","24,310","24,168","600.92K","-0.58%"
"07/13/2017","24,310","24,381","24,381","24,073","649.88K","0.10%"
"07/12/2017","24,286","24,049","24,310","23,931","805.32K","0.99%"
"07/11/2017","24,049","24,049","24,168","23,812","1.13M","0.00%"
"07/10/2017","24,049","24,405","24,405","23,694","1.27M","-1.46%"
"07/07/2017","24,405","24,310","24,499","24,310","1.41M","0.29%"
"07/06/2017","24,334","24,334","24,405","24,168","1.43M","0.00%"
"07/05/2017","24,334","24,523","24,642","24,334","988.92K","-0.77%"
"07/04/2017","24,523","24,239","24,760","24,215","1.33M","0.68%"
"07/03/2017","24,357","24,381","24,713","24,286","2.22M","-0.10%"
"06/30/2017","24,381","24,144","24,642","24,120","2.08M","1.88%"
"06/29/2017","23,931","23,812","24,168","23,718","1.62M","0.50%"
"06/28/2017","23,812","23,694","23,931","23,457","4.44M","-0.79%"
"06/27/2017","24,002","24,405","24,405","23,931","1.09M","-1.65%"
"06/26/2017","24,405","24,642","24,642","24,144","1.29M","0.10%"
"06/23/2017","24,381","24,405","24,973","23,978","2.39M","1.88%"
"06/22/2017","23,931","23,149","23,931","23,149","1.59M","3.38%"
"06/21/2017","23,149","23,102","23,196","22,888","1.26M","0.72%"
"06/20/2017","22,983","22,557","23,220","22,533","1.68M","2.00%"
"06/19/2017","22,533","22,509","22,604","22,462","687.08K","-0.11%"
"06/16/2017","22,557","22,746","22,746","22,509","706.92K","-0.52%"
"06/15/2017","22,675","22,628","22,817","22,604","667.16K","0.21%"
"06/14/2017","22,628","22,509","22,628","22,391","860.40K","0.53%"
"06/13/2017","22,509","22,746","22,912","22,462","913.28K","-1.56%"
"06/12/2017","22,865","23,054","23,149","22,817","481.84K","-0.82%"
"06/09/2017","23,054","23,220","23,386","22,983","558.44K","-0.71%"
"06/08/2017","23,220","23,102","23,338","22,936","1.16M","1.03%"
"06/07/2017","22,983","22,793","23,030","22,628","1.44M","0.83%"
"06/06/2017","22,793","22,509","22,865","22,391","1.03M","1.26%"
"06/05/2017","22,509","22,509","22,675","22,367","586.76K","-0.53%"
"06/02/2017","22,628","22,983","22,983","22,462","498.32K","-0.31%"
"06/01/2017","22,699","22,154","22,699","22,154","861.36K","2.46%"
"05/31/2017","22,154","21,988","22,628","21,988","741.28K","0.22%"
"05/30/2017","22,106","22,154","22,391","21,917","1.43M","-0.96%"
"05/29/2017","22,320","22,983","23,173","22,320","1.60M","-2.88%"
"05/26/2017","22,983","23,102","23,220","22,936","978.44K","-1.32%"
"05/25/2017","23,291","23,457","23,931","23,196","1.68M","-0.61%"
"05/24/2017","23,433","22,509","23,954","22,509","3.38M","4.65%"
"05/23/2017","22,391","21,680","22,509","21,609","1.67M","3.62%"
"05/22/2017","21,609","22,509","22,509","21,561","2.78M","1.34%"
"05/19/2017","21,324","21,207","21,348","21,184","2.43M","0.66%"
"05/18/2017","21,184","21,148","21,383","21,031","1.61M","0.17%"
"05/17/2017","21,148","21,266","21,454","20,996","1.48M","-0.39%"
"05/16/2017","21,230","21,559","21,559","21,160","2.09M","-1.48%"
"05/15/2017","21,548","20,490","21,618","20,490","3.59M","5.41%"
"05/12/2017","20,443","20,385","20,467","20,208","1.47M","0.58%"
"05/11/2017","20,326","20,326","20,502","20,208","974.80K","0.23%"
"05/10/2017","20,279","20,443","20,573","20,279","2.08M","0.06%"
"05/09/2017","20,267","19,985","20,267","19,985","1.59M","0.94%"
"05/08/2017","20,079","20,208","20,244","19,962","539.36K","-0.64%"
"05/05/2017","20,208","20,208","20,326","20,091","1.14M","0.11%"
"05/04/2017","20,185","19,856","20,208","19,856","1.81M","1.90%"
"05/03/2017","19,809","19,503","19,915","19,503","588.88K","0.96%"
"04/28/2017","19,621","19,609","19,621","19,503","820.80K","0.12%"
"04/27/2017","19,597","19,386","19,609","19,280","614.24K","1.64%"
"04/26/2017","19,280","19,210","19,539","19,210","1.16M","0.36%"
"04/25/2017","19,210","19,398","19,503","19,116","585.76K","-1.50%"
"04/24/2017","19,503","19,609","19,738","19,503","1.20M","-0.30%"
"04/21/2017","19,562","19,503","19,668","19,503","441.20K","0.30%"
"04/20/2017","19,503","19,621","19,621","19,503","321.68K","-0.60%"
"04/19/2017","19,621","19,151","19,621","19,151","786.08K","2.45%"
"04/18/2017","19,151","19,386","19,386","18,939","1.42M","-1.21%"
"04/17/2017","19,386","19,621","19,738","19,386","1.65M","-1.31%"
"04/14/2017","19,644","19,973","19,985","19,644","1.01M","-1.65%"
"04/13/2017","19,973","19,915","20,056","19,915","690.80K","0.59%"
"04/12/2017","19,856","19,774","20,079","19,750","1.29M","0.24%"
"04/11/2017","19,809","19,527","19,809","19,527","705.76K","1.51%"
"04/10/2017","19,515","19,621","19,621","19,503","555.60K","-0.54%"
"04/07/2017","19,621","19,621","19,656","19,503","434.08K","0.00%"
"04/05/2017","19,621","19,562","19,668","19,562","456.16K","0.30%"
"04/04/2017","19,562","19,680","19,680","19,515","784.64K","-0.60%"
"04/03/2017","19,680","19,856","19,856","19,574","1.24M","-0.48%"
"03/31/2017","19,774","19,633","19,891","19,633","503.28K","-0.12%"
"03/30/2017","19,797","19,527","19,821","19,527","1.14M","0.59%"
"03/29/2017","19,680","19,503","19,762","19,327","2.48M","0.91%"
"03/28/2017","19,503","19,503","19,715","19,386","1.05M","0.00%"
"03/27/2017","19,503","19,821","19,973","19,480","2.85M","-1.60%"
"03/24/2017","19,821","19,915","19,950","19,797","840.08K","0.12%"
"03/23/2017","19,797","19,879","19,962","19,715","1.40M","-0.41%"
"03/22/2017","19,879","20,173","20,208","19,856","2.04M","-1.86%"
