symbol,date,price
VFMVF1,2018-12-03,38093.41
VFMVF1,2018-12-04,38214.95
VFMVF1,2018-12-05,38247.12
VFMVF1,2018-12-06,38155.41
VFMVF1,2018-12-07,38155.41
VFMVF1,2018-12-10,38086.62
VFMVF1,2018-12-11,38059.27
VFMVF1,2018-12-12,38428.34
VFMVF1,2018-12-13,38390.69
VFMVF1,2018-12-14,38390.69
VFMVF1,2018-12-17,37393.63
VFMVF1,2018-12-18,37465.48
VFMVF1,2018-12-19,37293.35
VFMVF1,2018-12-20,37257.11
VFMVF1,2018-12-21,37257.11
VFMVF1,2018-12-24,36932.82
VFMVF1,2018-12-25,36529.98
VFMVF1,2018-12-26,36423.11
VFMVF1,2018-12-27,36847.31
VFMVF1,2018-12-28,36847.31
VFMVF1,2019-01-02,36481.409999999996
VFMVF1,2019-01-03,35866.3
VFMVF1,2019-01-04,35866.3
VFMVF1,2019-01-07,36233.57
VFMVF1,2019-01-08,36102.060000000005
VFMVF1,2019-01-09,36464.590000000004
VFMVF1,2019-01-10,36472.72
VFMVF1,2019-01-11,36472.72
VFMVF1,2019-01-14,36406.02
VFMVF1,2019-01-15,36682.59
VFMVF1,2019-01-16,36945.079999999994
VFMVF1,2019-01-17,36762.22
VFMVF1,2019-01-18,36762.22
VFMVF1,2019-01-21,36929.5
VFMVF1,2019-01-22,36731.380000000005
VFMVF1,2019-01-23,36720.42
VFMVF1,2019-01-24,36765.84
VFMVF1,2019-01-25,36765.84
VFMVF1,2019-01-28,36830.07
VFMVF1,2019-01-29,37016.91
VFMVF1,2019-01-30,36958.62
VFMVF1,2019-01-31,36859.69
VFMVF1,2019-02-01,36859.69
VFMVF1,2019-02-11,37419.66
VFMVF1,2019-02-12,37600.13
VFMVF1,2019-02-13,37876.99
VFMVF1,2019-02-14,37901.020000000004
VFMVF1,2019-02-15,37901.020000000004
VFMVF1,2019-02-18,38186.39
VFMVF1,2019-02-19,38241.36
VFMVF1,2019-02-20,38446.32
VFMVF1,2019-02-21,38827.15
VFMVF1,2019-02-22,38827.15
VFMVF1,2019-02-25,39197.409999999996
VFMVF1,2019-02-26,38930.74
VFMVF1,2019-02-27,38903.52
VFMVF1,2019-02-28,38209.93
VFMVF1,2019-03-01,38209.93
VFMVF1,2019-03-04,39135.509999999995
VFMVF1,2019-03-05,38995.91
VFMVF1,2019-03-06,39036.76
VFMVF1,2019-03-07,39020.29
VFMVF1,2019-03-08,39020.29
VFMVF1,2019-03-11,38731.58
VFMVF1,2019-03-12,39279.55
VFMVF1,2019-03-13,39492.310000000005
VFMVF1,2019-03-14,39571.3
VFMVF1,2019-03-15,39571.3
VFMVF1,2019-03-18,39610.909999999996
VFMVF1,2019-03-19,39400.66
VFMVF1,2019-03-20,39240.89
VFMVF1,2019-03-21,38692.630000000005
VFMVF1,2019-03-22,38692.630000000005
VFMVF1,2019-03-25,38156.31
VFMVF1,2019-03-26,38207.270000000004
VFMVF1,2019-03-27,38437.67
VFMVF1,2019-03-28,38615
VFMVF1,2019-03-29,38615
VFMVF1,2019-04-01,38723.12
VFMVF1,2019-04-02,38651.899999999994
VFMVF1,2019-04-03,38621.049999999996
VFMVF1,2019-04-04,38739.56
VFMVF1,2019-04-05,38739.56
VFMVF1,2019-04-08,39017.06
VFMVF1,2019-04-09,38798.16
VFMVF1,2019-04-10,38489.240000000005
VFMVF1,2019-04-11,38543.86
VFMVF1,2019-04-12,38543.86
VFMVF1,2019-04-16,38276.8
VFMVF1,2019-04-17,38226.27
VFMVF1,2019-04-18,37976.700000000004
VFMVF1,2019-04-19,37976.700000000004
VFMVF1,2019-04-22,38026.14
VFMVF1,2019-04-23,38058.149999999994
VFMVF1,2019-04-24,38410.19
VFMVF1,2019-04-25,38347.560000000005
VFMVF1,2019-04-26,38347.560000000005
VFMVF1,2019-05-02,38652.74
VFMVF1,2019-05-03,38652.74
VFMVF1,2019-05-06,37938.89
VFMVF1,2019-05-07,38057.25
VFMVF1,2019-05-08,37798.76
VFMVF1,2019-05-09,37620.09
VFMVF1,2019-05-10,37620.09
VFMVF1,2019-05-13,37895.899999999994
VFMVF1,2019-05-14,38012.979999999996
VFMVF1,2019-05-15,38380.44
VFMVF1,2019-05-16,38276.69
VFMVF1,2019-05-17,38276.69
VFMVF1,2019-05-20,38728.32
VFMVF1,2019-05-21,38738.11
VFMVF1,2019-05-22,38713.33
VFMVF1,2019-05-23,38823.700000000004
