"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2021","22,785.0","22,791.0","22,819.0","22,782.5","0.02K","-0.02%"
"08/25/2021","22,790.0","22,815.0","22,830.0","22,792.5","0.02K","-0.13%"
"08/24/2021","22,820.0","22,825.0","22,833.5","22,821.0","0.01K","-0.02%"
"08/23/2021","22,825.0","22,825.0","22,832.5","22,814.5","0.02K","0.02%"
"08/20/2021","22,820.0","22,830.5","22,834.0","22,808.5","0.11K","0.04%"
"08/19/2021","22,812.0","22,805.0","22,837.5","22,805.0","0.13K","0.02%"
"08/18/2021","22,807.0","22,832.5","22,839.0","22,798.0","0.12K","-0.10%"
"08/17/2021","22,830.0","22,805.0","22,840.5","22,805.0","0.12K","0.00%"
"08/16/2021","22,830.0","22,817.5","22,846.0","22,817.5","0.02K","0.00%"
"08/13/2021","22,830.0","22,805.0","22,832.5","22,800.0","0.03K","0.11%"
"08/12/2021","22,805.0","22,800.0","22,845.0","22,785.0","0.10K","-0.02%"
"08/11/2021","22,809.0","22,955.0","22,955.0","22,790.0","0.01K","-0.34%"
"08/10/2021","22,887.0","22,931.0","22,943.0","22,882.0","0.16K","-0.17%"
"08/09/2021","22,925.0","22,930.0","22,966.0","22,920.5","0.08K","-0.01%"
"08/06/2021","22,927.0","22,955.0","22,957.0","22,921.5","0.02K","-0.04%"
"08/05/2021","22,936.0","22,940.0","22,952.0","22,938.0","0.01K","-0.04%"
"08/04/2021","22,945.0","22,945.0","22,957.0","22,930.0","0.02K","-0.02%"
"08/03/2021","22,950.0","22,955.0","22,985.0","22,928.5","0.02K","0.00%"
"08/02/2021","22,950.0","22,955.0","22,961.5","22,952.5","0.01K","0.00%"
"07/30/2021","22,950.0","22,987.5","22,992.5","22,952.5","0.02K","-0.07%"
"07/29/2021","22,965.0","23,020.0","23,020.0","22,966.5","0.02K","-0.15%"
"07/28/2021","22,999.0","23,005.0","23,022.5","22,999.5","0.02K","-0.03%"
"07/27/2021","23,005.0","23,009.5","23,022.5","23,006.5","0.01K","-0.01%"
"07/26/2021","23,008.0","23,007.0","23,022.5","23,004.5","0.02K","0.01%"
"07/23/2021","23,005.0","23,015.5","23,025.0","23,004.5","0.03K","-0.02%"
"07/22/2021","23,010.0","23,022.5","23,025.0","23,009.5","0.01K","-0.05%"
"07/21/2021","23,022.0","23,021.5","23,029.0","23,015.0","0.01K","-0.02%"
"07/20/2021","23,026.0","23,019.0","23,028.5","23,017.5","0.02K","0.03%"
"07/19/2021","23,020.0","23,012.5","23,027.5","23,012.0","0.03K","0.04%"
"07/16/2021","23,011.0","23,004.5","23,016.5","23,000.0","0.02K","0.01%"
"07/15/2021","23,009.0","23,012.5","23,020.0","23,011.0","0.02K","-0.01%"
"07/14/2021","23,011.0","23,012.5","23,021.0","23,012.0","0.03K","0.00%"
"07/13/2021","23,010.0","23,022.5","23,029.0","23,002.5","0.02K","-0.04%"
"07/12/2021","23,020.0","23,004.5","23,022.0","23,000.0","0.02K","0.09%"
"07/09/2021","23,000.0","23,000.0","23,031.5","22,997.5","0.02K","-0.03%"
"07/08/2021","23,007.0","23,020.0","23,032.0","23,006.0","0.02K","-0.03%"
"07/07/2021","23,015.0","23,010.5","23,017.5","22,999.5","0.02K","0.03%"
"07/06/2021","23,007.0","23,004.5","23,016.0","22,992.5","0.02K","0.05%"
"07/05/2021","22,996.0","22,994.5","23,011.5","22,989.5","0.03K","-0.01%"
"07/02/2021","22,998.0","23,005.0","23,025.0","22,999.5","0.02K","-0.05%"
"07/01/2021","23,010.0","23,025.0","23,025.0","23,005.0","0.02K","-0.02%"
"06/30/2021","23,014.0","23,025.0","23,028.0","23,016.0","0.02K","-0.03%"
"06/29/2021","23,020.0","23,025.0","23,030.0","23,014.5","0.02K","0.00%"
"06/28/2021","23,020.0","23,025.0","23,025.0","23,012.0","0.02K","0.00%"
"06/25/2021","23,020.0","23,002.5","23,052.0","23,002.5","0.02K","0.07%"
"06/24/2021","23,003.0","23,007.5","23,030.0","23,002.5","0.01K","-0.07%"
"06/23/2021","23,020.0","23,027.5","23,028.0","23,022.5","0.01K","-0.02%"
"06/22/2021","23,025.0","23,017.5","23,027.5","23,011.0","0.02K","0.05%"
"06/21/2021","23,014.0","22,947.5","23,050.0","22,947.5","0.02K","0.08%"
