date,BITCOIN
2017-01-14,18687960
2017-01-15,18807806.7
2017-01-16,18833468.11
2017-01-17,20449326
2017-01-18,20044598.27
2017-01-19,20374389.8
2017-01-20,20185471.009999998
2017-01-21,20879529.259999998
2017-01-22,21018566.62
2017-01-23,20538561.75
2017-01-24,20024025
2017-01-25,20242880
2017-01-26,20717774.349999998
2017-01-27,20844518.275
2017-01-28,20897610.650000002
2017-01-29,20706929.95
2017-01-30,20858073.775000002
2017-01-31,21914950.925
2017-02-01,22428704.375
2017-02-02,22832244.15
2017-02-03,23032250
2017-02-04,23429092.5
2017-02-05,22994240
2017-02-06,23100082.2
2017-02-07,23830035.6
2017-02-08,23939538.5
2017-02-09,22539420.8
2017-02-10,22690063.55
2017-02-11,23067329.25
2017-02-12,22871450
2017-02-13,22738943.5
2017-02-14,23061610.4
2017-02-15,23110993.4
2017-02-16,23648871.75
2017-02-17,24101153.5
2017-02-18,24211709.250000004
2017-02-19,24159964.6
2017-02-20,24864788.209999997
2017-02-21,25761681.425
2017-02-22,25771271.075
2017-02-23,27096927.000000004
2017-02-24,27080538.560000002
2017-02-25,26420928
2017-02-26,27034906.560000002
2017-02-27,27242943.419999998
2017-02-28,27194045.4
2017-03-01,28044000
2017-03-02,28962459.400000002
2017-03-03,29532154.549999997
2017-03-04,29100659.725
2017-03-05,29215100.650000002
2017-03-06,29304196.95
2017-03-07,28217994.799999997
2017-03-08,26225016
2017-03-09,27301433.25
2017-03-10,25285428
2017-03-11,27088907.999999996
2017-03-12,28171224
2017-03-13,28403399.45
2017-03-14,28447413.1
2017-03-15,28831132.5
2017-03-16,26769005.799999997
2017-03-17,24368548.095
2017-03-18,22099995
2017-03-19,23227550.415
2017-03-20,23817250.8
2017-03-21,25389273.650000002
2017-03-22,23561297.18
2017-03-23,23368066.3
2017-03-24,21303350.125
2017-03-25,21960769.5
2017-03-26,22174060.5
2017-03-27,23732329.919999998
2017-03-28,23808985.000000004
2017-03-29,23759430.98
2017-03-30,23734081.799999997
2017-03-31,24779967.45
2017-04-01,24848460
2017-04-02,25348842.45
2017-04-03,26204360.999999996
2017-04-04,25962853.05
2017-04-05,25707543.1
2017-04-06,27053287
2017-04-07,27079920
2017-04-08,26864460
