date,BITCOIN,E1VFVN30,TCBF
2016-06-24,14961323.38,9700,10424
2016-06-25,15044618.010000002,9700,10424
2016-06-26,14259683.36,9700,10424
2016-06-27,14699776.215,9700,10424
2016-06-28,14453504.7,9700,10441
2016-06-29,14263541.94,9800,10441
2016-06-30,15033980.525,9900,10441
2016-07-01,15138896.275,10100,10442
2016-07-02,15736246.375000002,10100,10442
2016-07-03,14812094.874999998,10100,10442
2016-07-04,15213268.85,10000,10442
2016-07-05,14942455.155,10100,10431
2016-07-06,15153307.959999999,10100,10431
2016-07-07,14330696.31,10200,10431
2016-07-08,14875119.365,10200,10431
2016-07-09,14658455.705,10200,10431
2016-07-10,14543213.82,10200,10431
2016-07-11,14513050.665000001,10200,10431
2016-07-12,14860955.2,10200,10457
2016-07-13,14610149.96,10400,10457
2016-07-14,14752810.049999999,10300,10457
2016-07-15,14894148.72,10500,10457
2016-07-16,14868264.48,10500,10457
2016-07-17,15173520,10500,10457
2016-07-18,15058246,10400,10457
2016-07-19,15029754,10500,10445
2016-07-20,14866313.719999999,10500,10445
2016-07-21,14878342.16,10400,10445
2016-07-22,14595867.649999999,10200,10445
2016-07-23,14658962.5,10200,10445
2016-07-24,14736995,10200,10445
2016-07-25,14666743.629999999,10200,10445
2016-07-26,14585537.999999998,10200,10411
2016-07-27,14662191.75,10200,10411
2016-07-28,14657390.4,10300,10411
2016-07-29,14650771.5,10300,10411
2016-07-30,14625573.065,10300,10411
2016-07-31,13981117.515,10300,10411
2016-08-01,13490210.600000001,10200,10458
2016-08-02,11989880.76,10100,10463
2016-08-03,12772740.72,10000,10463
2016-08-04,13098312.5,10000,10463
2016-08-05,13002357.5,9800,10463
2016-08-06,13196612.275,9800,10463
2016-08-07,13273109.85,9800,10463
2016-08-08,13184680.68,9800,10463
2016-08-09,13083992.725000001,9900,10570
2016-08-10,13275491.160000002,10000,10570
2016-08-11,13120975.379999999,10100,10570
2016-08-12,13107189.74,10300,10570
2016-08-13,13078421.450000001,10300,10570
2016-08-14,12822851.99,10300,10570
2016-08-15,12673640.59,10200,10570
2016-08-16,12910408.94,10300,10579
2016-08-17,12809947.775,10400,10579
2016-08-18,12799049.505,10400,10579
2016-08-19,12789112.145,10400,10579
2016-08-20,12971918.845,10400,10579
2016-08-21,12958988.614999998,10400,10579
2016-08-22,13047326.600000001,10400,10579
2016-08-23,12993703.29,10400,10578
2016-08-24,12907111.875,10400,10578
2016-08-25,12844931.07,10400,10578
2016-08-26,12929752.799999999,10500,10578
2016-08-27,12741148.8,10500,10578
2016-08-28,12843151.2,10500,10578
2016-08-29,12785162.445,10600,10578
2016-08-30,12823684.8,10600,10631
2016-08-31,12778311.45,10600,10631
2016-09-01,12774048.35,10600,10617
2016-09-02,12839975.535,10600,10617
2016-09-03,13390377.985,10600,10617
2016-09-04,13635719.319999998,10600,10617
2016-09-05,13507795.535000002,10600,10617
2016-09-06,13668451.02,10600,10648
2016-09-07,13719490.605,10500,10648
2016-09-08,14000277.165000001,10600,10648
2016-09-09,13872472.035000002,10600,10648
2016-09-10,13909713.870000001,10600,10648
2016-09-11,13557365.97,10600,10648
2016-09-12,13518167.200000001,10500,10648
2016-09-13,13567884.275,10500,10666
2016-09-14,13568597.43,10580,10666
2016-09-15,13510696.32,10460,10666
2016-09-16,13568389.669999998,10460,10666
2016-09-17,13568166.479999999,10460,10666
2016-09-18,13645836.6,10460,10666
2016-09-19,13575127.3,10400,10666
2016-09-20,13513358.4,10400,10673
2016-09-21,13328622,10600,10673
2016-09-22,13307705.305000002,10750,10673
2016-09-23,13446912.440000001,10750,10673
2016-09-24,13462969.52,10750,10673
2016-09-25,13418143.504999999,10750,10673
2016-09-26,13552757.46,10790,10673
2016-09-27,13520052.91,10720,10671
2016-09-28,13494509.639999999,10880,10671
2016-09-29,13509941.06,10840,10671
2016-09-30,13577736.545,10860,10671
2016-10-01,13726224.575,10860,10691
2016-10-02,13653764.2,10860,10691
2016-10-03,13672435.455,10800,10691
2016-10-04,13610276.83,10700,10685
2016-10-05,13676533.799999999,10700,10685
2016-10-06,13643088.36,10770,10685
2016-10-07,13778482.08,10640,10685
2016-10-08,13812372,10640,10685
2016-10-09,13765996.319999998,10640,10685
2016-10-10,13797456,10600,10685
2016-10-11,14318954.94,10560,10721
2016-10-12,14175255.944999998,10560,10721
2016-10-13,14174582.34,10600,10721
2016-10-14,14229026.045,10660,10721
2016-10-15,14231925.239999998,10660,10721
2016-10-16,14315778.879999999,10660,10721
2016-10-17,14267944.04,10590,10721
2016-10-18,14166763.66,10640,10728
2016-10-19,14045576.58,10600,10728
2016-10-20,14008969.274999999,10600,10728
2016-10-21,14076340.620000001,10640,10728
2016-10-22,14565463.5,10640,10728
2016-10-23,14527306.559999999,10640,10728
2016-10-24,14502353.76,10640,10728
2016-10-25,14608883.249999998,10450,10744
2016-10-26,15060193,10390,10744
2016-10-27,15438175.350000001,10390,10744
2016-10-28,15398649.075000001,10390,10744
2016-10-29,15941658.18,10390,10744
2016-10-30,15565145.084999999,10390,10744
2016-10-31,15551323.5,10520,10744
2016-11-01,16311781.450000001,10400,10753
2016-11-02,16616865.9,10380,10753
2016-11-03,15398385,10210,10753
2016-11-04,15762590.280000001,10200,10753
2016-11-05,15777542.335,10200,10753
2016-11-06,16001376.83,10200,10753
2016-11-07,15775065.02,10300,10753
2016-11-08,15892069.049999999,10400,10777
2016-11-09,16097097.190000001,10200,10777
2016-11-10,15911794.745,10310,10777
2016-11-11,16008377,10310,10777
2016-11-12,15732154.899999999,10310,10777
2016-11-13,15720543.299999999,10310,10777
2016-11-14,15828827.040000001,10310,10777
2016-11-15,15920037.645,10310,10780
2016-11-16,16569310.675,10300,10780
2016-11-17,16376307.165000001,10300,10780
2016-11-18,16834664.599999998,10300,10780
2016-11-19,16884817.3,10300,10780
2016-11-20,16462455.1,10300,10780
2016-11-21,16616866,10300,10780
2016-11-22,16821876.47,10300,10837
2016-11-23,16772440.879999999,10300,10837
2016-11-24,16804032.3,10500,10837
2016-11-25,16827975.39,10450,10837
2016-11-26,16736071.450000001,10450,10837
2016-11-27,16589116.14,10450,10837
2016-11-28,16569427.85,10240,10837
2016-11-29,16606489.75,10180,10810
2016-11-30,16829355.400000002,10130,10810
2016-12-01,17104490,10260,10810
2016-12-02,17458128.75,10190,10810
2016-12-03,17406611.1,10190,10810
2016-12-04,17429533.05,10190,10810
2016-12-05,17081680,10150,10810
2016-12-06,17266455,9990,10833
2016-12-07,17350518,9970,10833
2016-12-08,17385029.6,10010,10833
2016-12-09,17468972.85,10050,10833
2016-12-10,17528842.975,10050,10833
2016-12-11,17419947.125,10050,10833
2016-12-12,17621570.150000002,9980,10833
2016-12-13,17588238.799999997,9900,10844
2016-12-14,17664546.9,9850,10844
2016-12-15,17653759.2,9900,10844
2016-12-16,17767295,9900,10844
2016-12-17,17939967.5,9900,10844
2016-12-18,17988880,9900,10844
2016-12-19,17998835.599999998,10110,10844
2016-12-20,18187009.875,10050,10867
2016-12-21,18999061.5,10050,10867
2016-12-22,19483015.2,10040,10867
2016-12-23,20876378.97,10000,10867
2016-12-24,20290094.25,10000,10867
2016-12-25,20395243.14,10000,10867
2016-12-26,20534274.67,10060,10867
2016-12-27,21061252.8,10090,10860
2016-12-28,22364993.07,10080,10860
2016-12-29,22111060.16,10120,10860
2016-12-30,21878604.509999998,10170,10860
2016-12-31,22164608.27,10170,10860
2017-01-01,22610464.45,10170,10860
2017-01-02,23031727.95,10170,10860
2017-01-03,23217690.825,10190,10887
2017-01-04,25688893.25,10250,10887
2017-01-05,22838760,10290,10887
2017-01-06,20209456.875,10350,10887
2017-01-07,20509312.5,10350,10887
2017-01-08,20832633.125,10350,10887
2017-01-09,20384319.45,10370,10887
2017-01-10,20471897,10370,10932
2017-01-11,17962120.44,10430,10932
2017-01-12,18333294.75,10430,10932
2017-01-13,18765149.4,10410,10932
2017-01-14,18687960,10410,10932
2017-01-15,18807806.7,10410,10932
2017-01-16,18833468.11,10340,10932
2017-01-17,20449326,10340,10932
2017-01-18,20044598.27,10360,10932
2017-01-19,20374389.8,10360,10932
2017-01-20,20185471.009999998,10360,10932
2017-01-21,20879529.259999998,10360,10932
2017-01-22,21018566.62,10360,10932
2017-01-23,20538561.75,10360,10932
2017-01-24,20024025,10410,10932
2017-01-25,20242880,10450,10932
2017-01-26,20717774.349999998,10450,10932
2017-01-27,20844518.275,10450,10932
2017-01-28,20897610.650000002,10450,10932
2017-01-29,20706929.95,10450,10932
2017-01-30,20858073.775000002,10450,10932
2017-01-31,21914950.925,10450,10936
2017-02-01,22428704.375,10450,10936
2017-02-02,22832244.15,10520,10936
2017-02-03,23032250,10610,10936
2017-02-04,23429092.5,10610,10936
2017-02-05,22994240,10610,10936
2017-02-06,23100082.2,10600,10936
2017-02-07,23830035.6,10650,10974
2017-02-08,23939538.5,10670,10974
2017-02-09,22539420.8,10700,10974
2017-02-10,22690063.55,10730,10974
2017-02-11,23067329.25,10730,10974
2017-02-12,22871450,10730,10974
2017-02-13,22738943.5,10760,10974
2017-02-14,23061610.4,10760,10977
2017-02-15,23110993.4,10840,10977
2017-02-16,23648871.75,10900,10977
2017-02-17,24101153.5,10890,10977
2017-02-18,24211709.250000004,10890,10977
2017-02-19,24159964.6,10890,10977
2017-02-20,24864788.209999997,10800,10977
2017-02-21,25761681.425,10920,11004
2017-02-22,25771271.075,10900,11034
2017-02-23,27096927.000000004,10860,11034
2017-02-24,27080538.560000002,10870,11034
2017-02-25,26420928,10870,11034
2017-02-26,27034906.560000002,10870,11034
2017-02-27,27242943.419999998,10820,11004
2017-02-28,27194045.4,10820,11020
2017-03-01,28044000,10700,11020
2017-03-02,28962459.400000002,10720,11020
2017-03-03,29532154.549999997,10690,11020
2017-03-04,29100659.725,10690,11020
2017-03-05,29215100.650000002,10690,11020
2017-03-06,29304196.95,10740,11020
2017-03-07,28217994.799999997,10750,11031
2017-03-08,26225016,10790,11031
2017-03-09,27301433.25,10830,11031
2017-03-10,25285428,10860,11031
2017-03-11,27088907.999999996,10860,11031
2017-03-12,28171224,10860,11031
2017-03-13,28403399.45,10860,11031
2017-03-14,28447413.1,10890,11021
2017-03-15,28831132.5,10850,11021
2017-03-16,26769005.799999997,10850,11021
2017-03-17,24368548.095,10900,11021
2017-03-18,22099995,10900,11021
2017-03-19,23227550.415,10900,11021
2017-03-20,23817250.8,11000,11021
2017-03-21,25389273.650000002,11030,11056
2017-03-22,23561297.18,11080,11056
2017-03-23,23368066.3,11180,11047
2017-03-24,21303350.125,11320,11047
2017-03-25,21960769.5,11320,11047
2017-03-26,22174060.5,11320,11047
2017-03-27,23732329.919999998,11290,11047
2017-03-28,23808985.000000004,11250,11059
2017-03-29,23759430.98,11320,11059
2017-03-30,23734081.799999997,11320,11057
2017-03-31,24779967.45,11300,11057
2017-04-01,24848460,11300,11057
2017-04-02,25348842.45,11300,11057
2017-04-03,26204360.999999996,11340,11057
2017-04-04,25962853.05,11370,11077
2017-04-05,25707543.1,11360,11077
2017-04-06,27053287,11360,11077
2017-04-07,27079920,11290,11077
2017-04-08,26864460,11290,11077
2017-04-09,27464799.6,11290,11077
2017-04-10,27448850,11400,11077
2017-04-11,27729493.45,11390,11085
2017-04-12,27528269.325000003,11380,11085
2017-04-13,26695494,11340,11088
2017-04-14,26746600.25,11140,11088
2017-04-15,26863044.374999996,11140,11088
2017-04-16,26843447.125,11140,11088
2017-04-17,27040704.75,11000,11088
2017-04-18,27302067.1,10960,11103
2017-04-19,27609921.19,11080,11103
2017-04-20,28097689.500000004,11040,11108
2017-04-21,28402897.775,11030,11108
2017-04-22,28334957.5,11030,11108
2017-04-23,28448115.55,11030,11108
2017-04-24,28565628.8,10950,11108
2017-04-25,29165607.400000002,10920,11101
2017-04-26,29528473.26,10990,11101
2017-04-27,30671378.32,11140,11119
2017-04-28,30779688.29,11140,11119
2017-04-29,31054657.205000002,11140,11119
2017-04-30,31489512.925,11140,11119
2017-05-01,32680375,11140,11119
2017-05-02,33487772.5,11140,11119
2017-05-03,34864252.5,11180,11119
2017-05-04,35567122.5,11210,11129
2017-05-05,35264927.25,11230,11129
2017-05-06,36039878.175000004,11230,11129
2017-05-07,36589550.025,11230,11129
2017-05-08,38936490,11190,11129
2017-05-09,39109674.975,11240,11136
2017-05-10,40818072.6,11350,11136
2017-05-11,41766040.285000004,11320,11172
2017-05-12,38475086.51,11300,11172
2017-05-13,40678836.43,11300,11172
2017-05-14,40843573.09,11300,11172
2017-05-15,39642078.61,11370,11172
2017-05-16,40259922,11410,11137
2017-05-17,41114990.25,11380,11137
2017-05-18,43110932,11400,11153
2017-05-19,44761609.5,11460,11153
2017-05-20,46634311.5,11460,11153
2017-05-21,46591050,11460,11153
2017-05-22,48225224.125,11600,11153
2017-05-23,51591425,11610,11167
2017-05-24,55137182.62499999,11780,11167
2017-05-25,53399625,11700,11205
2017-05-26,51647107.49999999,11770,11205
2017-05-27,47722272.74999999,11770,11205
2017-05-28,50739925.50000001,11770,11205
2017-05-29,51837654.68,11850,11205
2017-05-30,49803655.5,11830,11217
2017-05-31,52319232.35,11610,11217
2017-06-01,54957972.9,11790,11220
2017-06-02,56310257.849999994,11780,11220
2017-06-03,57878955.75000001,11780,11220
2017-06-04,57272692.400000006,11780,11220
2017-06-05,61285070,11840,11220
2017-06-06,65250065.25,11910,11187
2017-06-07,61031169,12100,11187
2017-06-08,63525873.7,12040,11236
2017-06-09,63783410.625,12130,11236
2017-06-10,66500465.625,12130,11236
2017-06-11,68039358.75,12130,11236
2017-06-12,60264699.175000004,12090,11236
2017-06-13,61474209.425000004,12140,11224
2017-06-14,55223328.050000004,12240,11224
2017-06-15,54682446.2,12260,11255
2017-06-16,56280956.699999996,12300,11255
2017-06-17,59786788.6,12300,11255
2017-06-18,57071022.5,12300,11255
2017-06-19,58990400.7,12370,11255
2017-06-20,61927443,12460,11265
2017-06-21,60004045,12370,11265
2017-06-22,60862572.9,12450,11283
2017-06-23,61147521.00000001,12370,11283
2017-06-24,58513239,12370,11283
2017-06-25,56939987.25,12370,11283
2017-06-26,54719754.75,12450,11283
2017-06-27,58533918.75,12390,11311
2017-06-28,58057948.8,12360,11311
2017-06-29,57513225,12490,11283
2017-06-30,55794192.75,12560,11283
2017-07-01,55076991.75,12560,11283
